"","X","condition","img_side_order","trial_no","img_pair_name","trial_type","target_audio_type","target_audio","left_img","right_img","clicked_img","start_time","current_windowW","current_windowH","end_pre1_time","end_pre2_time","end_img_reset_time","end_contrast_time","start_event_time","end_event_time","end_trial_time","start_event_timept","end_event_timept","time","x","y","Browser","OS","screenH","screenW","windowH","windowW","imageH","imageW","language","age","gender","eyesight","eyesight_task","comments","accuracy","previous_accuracy_attempts","time_in_minutes","participant_id","exp.clicked","trials_completed","data_point_no","starting_time","time_since_trial_start","trial_stage","img1_left_x","img1_right_x","top_y","bottom_y","img2_left_x","img2_right_x","look_left_img","look_right_img","action_img","look_action_img","look_object_img","frame_start","frame_end","novel_word_end","trial_frame_start","trial_frame_end","previous_look_action_img","previous_look_object_img","trial_name","time_since_disambig","pre_frame_prop","post_frame_prop","trial_diff_prop_action","subj_diff_prop_action","girls_end"
"200",588635,"baseline","img_side_order1",9,"pair11","novel","novel","smick","smick_verb","smick_noun","none",1597879313130,1440,837,5032,10055,11087,17102,18108,26114,1597879340859,1597879331238,1597879339244,584494,555,162,"Safari","Mac",900,1440,837,1440,288,400,"English",23,"Male","none","neither","Nope thank you for the opportunity",65,"[33, 6]",11.9967666666667,463608,NA,12,1173,564312,20182,"event",-70,630,156,744,810,1510,TRUE,FALSE,"left",TRUE,FALSE,1987,2485,3261,20095,20593,FALSE,FALSE,"Trial 9",87,NA,1,NA,NA,476.918316831683
"201",590092,"baseline","img_side_order1",10,"pair10","novel","novel","nup","nup_noun","nup_verb","none",1597879340859,1440,837,5048,10064,11097,17109,18113,26139,1597879368455,1597879358972,1597879366998,611379,555,162,"Safari","Mac",900,1440,837,1440,288,400,"English",23,"Male","none","neither","Nope thank you for the opportunity",65,"[33, 6]",11.9967666666667,463608,NA,12,1122,592055,19323.9999999999,"event",-70,630,156,744,810,1510,TRUE,FALSE,"right",FALSE,TRUE,1992,2443,2996,20105,20556,FALSE,FALSE,"Trial 10",-781.000000000098,0,0,0,NA,476.918316831683
"202",591469,"baseline","img_side_order1",11,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1597879368455,1440,837,5032,10064,11072,17104,18113,26113,1597879397968,1597879386568,1597879394568,639116,555,162,"Safari","Mac",900,1440,837,1440,288,400,"English",23,"Male","none","neither","Nope thank you for the opportunity",65,"[33, 6]",11.9967666666667,463608,NA,12,990,619652,19464,"event",-70,630,156,744,810,1510,TRUE,FALSE,"left",TRUE,FALSE,2016,2497,3354,20129,20610,FALSE,FALSE,"Trial 11",-665,1,1,0,NA,476.918316831683
"203",593005,"baseline","img_side_order1",12,"pair12","novel","novel","vash","vash_noun","vash_verb","vash_verb",1597879397968,1440,837,5037,10038,11040,17043,18061,26063,1597879428553,1597879416029,1597879424031,668195,555,162,"Safari","Mac",900,1440,837,1440,288,400,"English",23,"Male","none","neither","Nope thank you for the opportunity",65,"[33, 6]",11.9967666666667,463608,NA,12,1140,649162,19033,"event",-70,630,156,744,810,1510,TRUE,FALSE,"right",FALSE,TRUE,1994,2472,3275,20055,20533,FALSE,FALSE,"Trial 12",-1022,0,0,0,NA,476.918316831683
"204",606941,"noun","img_side_order2",9,"pair9","novel","novel","dax","dax_verb","dax_noun","none",1597979179829,1600,757,5025,10027,11040,17041,18042,26043,1597979206605,1597979197871,1597979205872,300556.639999995,1166,626,"Chrome","Windows",1080,1920,937,1920,288,400,"English",27,"Female","none","neither",NA,79,"[]",7.01666666666667,469592,NA,12,1088,282446.049999999,18110.5899999966,"event",170,870,246,834,1050,1750,FALSE,TRUE,"left",FALSE,TRUE,2016,2497,3354,20058,20539,FALSE,FALSE,"Trial 9",-1947.4100000034,0.644444444444444,0.38047138047138,-0.263973063973064,-0.142505373545358,476.918316831683
"205",608501,"noun","img_side_order2",10,"pair12","novel","novel","vash","vash_noun","vash_verb","none",1597979206605,1600,757,5015,10016,11018,17018,18030,26031,1597979233348,1597979224635,1597979232636,327272.889999993,1186,349,"Chrome","Windows",1080,1920,937,1920,288,400,"English",27,"Female","none","neither",NA,79,"[]",7.01666666666667,469592,NA,12,1085,309223.880000005,18049.0099999879,"event",170,870,246,834,1050,1750,FALSE,TRUE,"right",TRUE,FALSE,1994,2472,3275,20024,20502,FALSE,FALSE,"Trial 10",-1974.9900000121,0.580645161290323,0.873817034700315,0.293171873409993,-0.142505373545358,476.918316831683
"206",610063,"noun","img_side_order2",11,"pair10","novel","novel","nup","nup_verb","nup_noun","none",1597979233349,1600,757,5022,10023,11023,17036,18037,26037,1597979259908,1597979251386,1597979259386,354008.484999998,823,472,"Chrome","Windows",1080,1920,937,1920,288,400,"English",27,"Female","none","neither",NA,79,"[]",7.01666666666667,469592,NA,12,1084,335969.144999981,18039.3400000175,"event",170,870,246,834,1050,1750,TRUE,FALSE,"left",TRUE,FALSE,1992,2443,2996,20029,20480,TRUE,FALSE,"Trial 11",-1989.6599999825,0.696969696969697,0.240356083086053,-0.456613613883644,-0.142505373545358,476.918316831683
"207",611626,"noun","img_side_order2",12,"pair11","novel","novel","smick","smick_noun","smick_verb","smick_noun",1597979259909,1600,757,5026,10027,11028,17028,18030,26041,1597979289028,1597979277939,1597979285950,380573.039999988,702,378,"Chrome","Windows",1080,1920,937,1920,288,400,"English",27,"Female","none","neither",NA,79,"[]",7.01666666666667,469592,NA,12,1084,362530.419999996,18042.6199999929,"event",170,870,246,834,1050,1750,TRUE,FALSE,"right",FALSE,TRUE,1987,2485,3261,20017,20515,FALSE,TRUE,"Trial 12",-1974.3800000071,0.253333333333333,0.110726643598616,-0.142606689734717,-0.142505373545358,476.918316831683
"208",623734,"noun","img_side_order2",9,"pair12","novel","novel","vash","vash_verb","vash_noun","none",1597886056979,1440,821,5052,10079,11114,17142,18161,26188,1597886092708,1597886075140,1597886083167,386011.564999993,862,330,"Chrome","Mac",900,1440,821,1440,288,400,"English",32,"Male","nearsighted","glasses",NA,79,"[]",9.72003333333333,474918,NA,12,960,367850.335000025,18161.2299999688,"event",-70,630,156,744,810,1510,FALSE,TRUE,"left",FALSE,TRUE,1994,2472,3275,20155,20633,FALSE,FALSE,"Trial 9",-1993.7700000312,0.509803921568627,0.743016759776536,0.233212838207909,0.038348054645588,476.918316831683
"209",625119,"noun","img_side_order2",10,"pair10","novel","novel","nup","nup_noun","nup_verb","none",1597886092709,1440,821,5054,10087,11121,17153,18181,26204,1597886121990,1597886110890,1597886118913,421757.255000004,478,384,"Chrome","Mac",900,1440,821,1440,288,400,"English",32,"Male","nearsighted","glasses",NA,79,"[]",9.72003333333333,474918,NA,12,960,403576.245000004,18181.0100000002,"event",-70,630,156,744,810,1510,TRUE,FALSE,"right",FALSE,TRUE,1992,2443,2996,20173,20624,FALSE,FALSE,"Trial 10",-1991.9899999998,0.205882352941176,0.124352331606218,-0.0815300213349588,0.038348054645588,476.918316831683
