"","subid","uuid","gender","trial_no","condition","test_trial","date_completed","age_in_weeks","exp_start","trial_duration","trial_start","trial_end","trial_start_video","trial_end_video","noun_image","noun_image_position","verb_image","verb_image_position","trial_audio"
"20","36742","9bc8cf36-dc54-4da7-90ee-5faa445d7571","f",12,"verb","98-test-trial-event-12","2021-03-06",1740,2021-08-06 19:17:19,8.037,2021-08-06 19:23:34,2021-08-06 19:23:42,374953.999996185,382962.999820709,"dax_noun","right","dax_verb","left","dax"
"21","36746","18c63556-a0f9-4d87-93d7-bcf94c1c09e3","m",9,"noun","76-test-trial-event-9","2021-03-06",1860,2021-08-06 19:45:35,8.012,2021-08-06 19:50:13,2021-08-06 19:50:21,278187.99996376,286190.00005722,"vash_noun","right","vash_verb","left","vash"
"22","36746","18c63556-a0f9-4d87-93d7-bcf94c1c09e3","m",10,"noun","83-test-trial-event-10","2021-03-06",1860,2021-08-06 19:45:35,8.011,2021-08-06 19:50:42,2021-08-06 19:50:50,307045.000076294,315047.000169754,"dax_noun","left","dax_verb","right","dax"
"23","36746","18c63556-a0f9-4d87-93d7-bcf94c1c09e3","m",11,"noun","91-test-trial-event-11","2021-03-06",1860,2021-08-06 19:45:35,8.01,2021-08-06 19:51:17,2021-08-06 19:51:25,342101.999998093,350104.000091553,"nup_noun","right","nup_verb","left","nup"
"24","36746","18c63556-a0f9-4d87-93d7-bcf94c1c09e3","m",12,"noun","98-test-trial-event-12","2021-03-06",1860,2021-08-06 19:45:35,8.013,2021-08-06 19:51:46,2021-08-06 19:51:54,370877.00009346,378879.00018692,"smick_noun","right","smick_verb","left","smick"
"25","36757","9c991fe5-5af8-4be9-83ed-c37c038dae84","f",9,"verb","76-test-trial-event-9","2021-03-06",1710,2021-08-06 20:28:40,8.01,2021-08-06 20:33:15,2021-08-06 20:33:23,274643.999814987,282646.999835968,"vash_noun","left","vash_verb","right","vash"
"26","36757","9c991fe5-5af8-4be9-83ed-c37c038dae84","f",10,"verb","83-test-trial-event-10","2021-03-06",1710,2021-08-06 20:28:40,8.008,2021-08-06 20:33:44,2021-08-06 20:33:52,303760.999917984,311762.999773026,"nup_noun","left","nup_verb","right","nup"
"27","36757","9c991fe5-5af8-4be9-83ed-c37c038dae84","f",11,"verb","91-test-trial-event-11","2021-03-06",1710,2021-08-06 20:28:40,8.008,2021-08-06 20:34:19,2021-08-06 20:34:27,338282.999992371,346283.999919891,"smick_noun","left","smick_verb","right","smick"
"28","36757","9c991fe5-5af8-4be9-83ed-c37c038dae84","f",12,"verb","98-test-trial-event-12","2021-03-06",1710,2021-08-06 20:28:40,8.007,2021-08-06 20:34:47,2021-08-06 20:34:55,366830.999851227,374831.999778748,"dax_noun","right","dax_verb","left","dax"
"29","36805","26b27209-5731-4d9c-a90a-7658357fba36","f",9,"noun","76-test-trial-event-9","2021-03-07",1950,2021-08-07 00:45:28,8.012,2021-08-07 00:50:06,2021-08-07 00:50:14,277092.99993515,285096.999883652,"smick_noun","left","smick_verb","right","smick"
"30","36805","26b27209-5731-4d9c-a90a-7658357fba36","f",10,"noun","83-test-trial-event-10","2021-03-07",1950,2021-08-07 00:45:28,8.009,2021-08-07 00:50:35,2021-08-07 00:50:43,306250,314251.999855042,"dax_noun","right","dax_verb","left","dax"
"31","36805","26b27209-5731-4d9c-a90a-7658357fba36","f",11,"noun","91-test-trial-event-11","2021-03-07",1950,2021-08-07 00:45:28,8.012,2021-08-07 00:51:10,2021-08-07 00:51:18,341205.999851227,349208.999872208,"nup_noun","left","nup_verb","right","nup"
"32","36805","26b27209-5731-4d9c-a90a-7658357fba36","f",12,"noun","98-test-trial-event-12","2021-03-07",1950,2021-08-07 00:45:28,8.012,2021-08-07 00:51:38,2021-08-07 00:51:46,369864.000082016,377868.000030518,"vash_noun","left","vash_verb","right","vash"
"33","37924","0300ae7e-51df-4ee4-a9a5-0dd423d33c4d","f",9,"noun","76-test-trial-event-9","2021-03-13",1350,2021-08-13 13:06:27,8.021,2021-08-13 13:11:05,2021-08-13 13:11:13,278578.999996185,286579.999923706,"dax_noun","left","dax_verb","right","dax"
"34","37924","0300ae7e-51df-4ee4-a9a5-0dd423d33c4d","f",10,"noun","83-test-trial-event-10","2021-03-13",1350,2021-08-13 13:06:27,8.017,2021-08-13 13:11:34,2021-08-13 13:11:42,307779.99997139,315782.999992371,"vash_noun","right","vash_verb","left","vash"
"35","37924","0300ae7e-51df-4ee4-a9a5-0dd423d33c4d","f",11,"noun","91-test-trial-event-11","2021-03-13",1350,2021-08-13 13:06:27,8.009,2021-08-13 13:12:09,2021-08-13 13:12:17,342694.999933243,350696.999788284,"smick_noun","right","smick_verb","left","smick"
"36","37924","0300ae7e-51df-4ee4-a9a5-0dd423d33c4d","f",12,"noun","98-test-trial-event-12","2021-03-13",1350,2021-08-13 13:06:27,8.009,2021-08-13 13:12:38,2021-08-13 13:12:46,371494.999885559,379495.99981308,"nup_noun","left","nup_verb","right","nup"
"37","38646","91cd6bce-fddb-4c76-8692-6d627026a5f4","f",9,"noun","76-test-trial-event-9","2021-03-18",1230,2021-08-18 12:23:42,8.009,2021-08-18 12:28:19,2021-08-18 12:28:27,277704.999923706,285706.000089645,"nup_noun","left","nup_verb","right","nup"
"38","38646","91cd6bce-fddb-4c76-8692-6d627026a5f4","f",10,"noun","83-test-trial-event-10","2021-03-18",1230,2021-08-18 12:23:42,8.012,2021-08-18 12:28:52,2021-08-18 12:29:00,310111.000061035,318112.999916077,"smick_noun","left","smick_verb","right","smick"
"39","38646","91cd6bce-fddb-4c76-8692-6d627026a5f4","f",11,"noun","91-test-trial-event-11","2021-03-18",1230,2021-08-18 12:23:42,8.01,2021-08-18 12:29:27,2021-08-18 12:29:35,345414.000034332,353414.999961853,"dax_noun","right","dax_verb","left","dax"
"40","38646","91cd6bce-fddb-4c76-8692-6d627026a5f4","f",12,"noun","98-test-trial-event-12","2021-03-18",1230,2021-08-18 12:23:42,8.009,2021-08-18 12:29:56,2021-08-18 12:30:04,374272.000074387,382273.000001907,"vash_noun","right","vash_verb","left","vash"
"41","38661","7b8fcb1e-9ebb-4fb1-91f4-9d75c87e10ab","f",9,"baseline","76-test-trial-event-9","2021-03-18",1560,2021-08-18 13:28:39,8.035,2021-08-18 13:33:16,2021-08-18 13:33:24,276910.000085831,284914.999961853,"nup_noun","left","nup_verb","right","nup"
"42","38661","7b8fcb1e-9ebb-4fb1-91f4-9d75c87e10ab","f",10,"baseline","83-test-trial-event-10","2021-03-18",1560,2021-08-18 13:28:39,8.02,2021-08-18 13:33:46,2021-08-18 13:33:54,306216.000080109,314217.000007629,"vash_noun","left","vash_verb","right","vash"
"43","38661","7b8fcb1e-9ebb-4fb1-91f4-9d75c87e10ab","f",11,"baseline","91-test-trial-event-11","2021-03-18",1560,2021-08-18 13:28:39,8.019,2021-08-18 13:34:20,2021-08-18 13:34:28,341103.000164032,349105.999946594,"smick_noun","left","smick_verb","right","smick"
"44","38661","7b8fcb1e-9ebb-4fb1-91f4-9d75c87e10ab","f",12,"baseline","98-test-trial-event-12","2021-03-18",1560,2021-08-18 13:28:39,8.025,2021-08-18 13:34:49,2021-08-18 13:34:57,370101.999998093,378104.000091553,"dax_noun","right","dax_verb","left","dax"
"45","38669","71babcd8-a30d-4dc2-af71-55d900cf75c6","m",9,"noun","76-test-trial-event-9","2021-03-18",1530,2021-08-18 14:26:01,8.026,2021-08-18 14:30:49,2021-08-18 14:30:57,287675.999879837,295680.000066757,"nup_noun","right","nup_verb","left","nup"
"46","38669","71babcd8-a30d-4dc2-af71-55d900cf75c6","m",10,"noun","83-test-trial-event-10","2021-03-18",1530,2021-08-18 14:26:01,8.026,2021-08-18 14:31:18,2021-08-18 14:31:26,317319.999933243,325322.000026703,"dax_noun","left","dax_verb","right","dax"
"47","38669","71babcd8-a30d-4dc2-af71-55d900cf75c6","m",11,"noun","91-test-trial-event-11","2021-03-18",1530,2021-08-18 14:26:01,8.026,2021-08-18 14:31:54,2021-08-18 14:32:02,353345.00002861,361348.000049591,"smick_noun","right","smick_verb","left","smick"
"48","38669","71babcd8-a30d-4dc2-af71-55d900cf75c6","m",12,"noun","98-test-trial-event-12","2021-03-18",1530,2021-08-18 14:26:01,8.032,2021-08-18 14:32:24,2021-08-18 14:32:32,382674.000024796,390677.000045776,"vash_noun","left","vash_verb","right","vash"
"49","38755","98c28ad4-adb8-4bd0-b789-615a835bce1e","m",9,"baseline","76-test-trial-event-9","2021-03-18",1590,2021-08-18 19:17:10,8.016,2021-08-18 19:21:50,2021-08-18 19:21:58,280117.000102997,288119.000196457,"nup_noun","right","nup_verb","left","nup"
"50","38755","98c28ad4-adb8-4bd0-b789-615a835bce1e","m",10,"baseline","83-test-trial-event-10","2021-03-18",1590,2021-08-18 19:17:10,8.012,2021-08-18 19:22:19,2021-08-18 19:22:27,309471.00019455,317471.00019455,"vash_noun","left","vash_verb","right","vash"
"51","38755","98c28ad4-adb8-4bd0-b789-615a835bce1e","m",11,"baseline","91-test-trial-event-11","2021-03-18",1590,2021-08-18 19:17:10,8.023,2021-08-18 19:22:54,2021-08-18 19:23:02,344708.000183105,352715.000152588,"dax_noun","left","dax_verb","right","dax"
"52","38755","98c28ad4-adb8-4bd0-b789-615a835bce1e","m",12,"baseline","98-test-trial-event-12","2021-03-18",1590,2021-08-18 19:17:10,8.012,2021-08-18 19:23:23,2021-08-18 19:23:31,373805.000066757,381807.000160217,"smick_noun","right","smick_verb","left","smick"
"53","38765","cf0631be-f61a-4310-b4fb-aca3a788658b","m",9,"baseline","76-test-trial-event-9","2021-03-18",1710,2021-08-18 20:04:03,8.016,2021-08-18 20:08:38,2021-08-18 20:08:46,274881.999969482,282882.999897003,"dax_noun","left","dax_verb","right","dax"
"54","38765","cf0631be-f61a-4310-b4fb-aca3a788658b","m",10,"baseline","83-test-trial-event-10","2021-03-18",1710,2021-08-18 20:04:03,8.011,2021-08-18 20:09:07,2021-08-18 20:09:15,303631.999969482,311633.999824524,"smick_noun","right","smick_verb","left","smick"
"55","38765","cf0631be-f61a-4310-b4fb-aca3a788658b","m",11,"baseline","91-test-trial-event-11","2021-03-18",1710,2021-08-18 20:04:03,8.01,2021-08-18 20:09:41,2021-08-18 20:09:49,338276.000022888,346276.999950409,"vash_noun","right","vash_verb","left","vash"
"56","38765","cf0631be-f61a-4310-b4fb-aca3a788658b","m",12,"baseline","98-test-trial-event-12","2021-03-18",1710,2021-08-18 20:04:03,8.014,2021-08-18 20:10:10,2021-08-18 20:10:18,366879.999876022,374881.000041962,"nup_noun","right","nup_verb","left","nup"
"57","38773","ce564717-3aac-4262-ab60-fd9f061a82ba","f",9,"noun","76-test-trial-event-9","2021-03-18",1800,2021-08-18 21:18:55,8.013,2021-08-18 21:23:31,2021-08-18 21:23:39,275865.000009537,283867.000102997,"smick_noun","right","smick_verb","left","smick"
"58","38773","ce564717-3aac-4262-ab60-fd9f061a82ba","f",10,"noun","83-test-trial-event-10","2021-03-18",1800,2021-08-18 21:18:55,8.017,2021-08-18 21:23:59,2021-08-18 21:24:07,304613.000154495,312615.000009537,"dax_noun","left","dax_verb","right","dax"
"59","38773","ce564717-3aac-4262-ab60-fd9f061a82ba","f",11,"noun","91-test-trial-event-11","2021-03-18",1800,2021-08-18 21:18:55,8.02,2021-08-18 21:24:34,2021-08-18 21:24:42,339345.00002861,347346.00019455,"nup_noun","left","nup_verb","right","nup"
"60","38773","ce564717-3aac-4262-ab60-fd9f061a82ba","f",12,"noun","98-test-trial-event-12","2021-03-18",1800,2021-08-18 21:18:55,8.015,2021-08-18 21:25:03,2021-08-18 21:25:11,368028.000116348,376030.000209808,"vash_noun","left","vash_verb","right","vash"
"61","38804","ce2d3fb1-8250-4b3c-a6a3-84a0a811f815","f",9,"noun","76-test-trial-event-9","2021-03-19",1710,2021-08-19 00:04:41,8.013,2021-08-19 00:09:19,2021-08-19 00:09:27,277664.999961853,285668.999910355,"smick_noun","right","smick_verb","left","smick"
"62","38804","ce2d3fb1-8250-4b3c-a6a3-84a0a811f815","f",10,"noun","83-test-trial-event-10","2021-03-19",1710,2021-08-19 00:04:41,8.013,2021-08-19 00:09:48,2021-08-19 00:09:56,306444.999933243,314447.000026703,"vash_noun","right","vash_verb","left","vash"
"63","38804","ce2d3fb1-8250-4b3c-a6a3-84a0a811f815","f",11,"noun","91-test-trial-event-11","2021-03-19",1710,2021-08-19 00:04:41,8.017,2021-08-19 00:10:23,2021-08-19 00:10:31,341677.000045776,349685.9998703,"dax_noun","left","dax_verb","right","dax"
"64","38804","ce2d3fb1-8250-4b3c-a6a3-84a0a811f815","f",12,"noun","98-test-trial-event-12","2021-03-19",1710,2021-08-19 00:04:41,8.013,2021-08-19 00:10:52,2021-08-19 00:11:00,370698.999881744,378700.999975204,"nup_noun","right","nup_verb","left","nup"
"65","38808","1703e183-5aae-41c4-abe3-19650f394d4c","f",9,"baseline","76-test-trial-event-9","2021-03-19",2160,2021-08-19 00:33:48,8.016,2021-08-19 00:38:36,2021-08-19 00:38:44,288203.999996185,296206.000089645,"nup_noun","right","nup_verb","left","nup"
"66","38808","1703e183-5aae-41c4-abe3-19650f394d4c","f",10,"baseline","83-test-trial-event-10","2021-03-19",2160,2021-08-19 00:33:48,8.019,2021-08-19 00:39:06,2021-08-19 00:39:14,317721.00019455,325723.000049591,"dax_noun","left","dax_verb","right","dax"
"67","38808","1703e183-5aae-41c4-abe3-19650f394d4c","f",11,"baseline","91-test-trial-event-11","2021-03-19",2160,2021-08-19 00:33:48,8.018,2021-08-19 00:39:42,2021-08-19 00:39:50,353436.000108719,361437.99996376,"smick_noun","left","smick_verb","right","smick"
"68","38808","1703e183-5aae-41c4-abe3-19650f394d4c","f",12,"baseline","98-test-trial-event-12","2021-03-19",2160,2021-08-19 00:33:48,8.02,2021-08-19 00:40:11,2021-08-19 00:40:19,382584.000110626,390587.000131607,"vash_noun","left","vash_verb","right","vash"
"69","38810","41683570-2e98-4a3f-a339-a84723b536a5","f",9,"noun","76-test-trial-event-9","2021-03-19",1200,2021-08-19 00:51:38,8.054,2021-08-19 00:56:19,2021-08-19 00:56:27,281680.000066757,289684.000015259,"dax_noun","left","dax_verb","right","dax"
"70","38810","41683570-2e98-4a3f-a339-a84723b536a5","f",10,"noun","83-test-trial-event-10","2021-03-19",1200,2021-08-19 00:51:38,8.026,2021-08-19 00:56:48,2021-08-19 00:56:56,310767.999887466,318769.999980927,"nup_noun","left","nup_verb","right","nup"
"71","38810","41683570-2e98-4a3f-a339-a84723b536a5","f",11,"noun","91-test-trial-event-11","2021-03-19",1200,2021-08-19 00:51:38,8.015,2021-08-19 00:57:26,2021-08-19 00:57:34,348013.999938965,356016.000032425,"vash_noun","right","vash_verb","left","vash"
"72","38810","41683570-2e98-4a3f-a339-a84723b536a5","f",12,"noun","98-test-trial-event-12","2021-03-19",1200,2021-08-19 00:51:38,8.068,2021-08-19 00:57:55,2021-08-19 00:58:03,377273.000001907,385276.000022888,"smick_noun","left","smick_verb","right","smick"
"73","38832","853eb58a-1f1d-4842-9e62-84ecad60c6a3","m",9,"noun","76-test-trial-event-9","2021-03-19",1110,2021-08-19 11:27:47,8.018,2021-08-19 11:32:22,2021-08-19 11:32:30,275516.000032425,283519.999980927,"vash_noun","left","vash_verb","right","vash"
"74","38832","853eb58a-1f1d-4842-9e62-84ecad60c6a3","m",10,"noun","83-test-trial-event-10","2021-03-19",1110,2021-08-19 11:27:47,8.016,2021-08-19 11:32:51,2021-08-19 11:32:59,304282.00006485,312284.00015831,"dax_noun","left","dax_verb","right","dax"
