look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257103,261062,"c",
1,261063,262184,"r",
2,262185,263273,"c",
3,263274,265418,"c",
4,265419,265913,"c",
5,265914,266408,"l",
6,266409,266606,"c",
7,266607,268388,"l",
8,268389,271391,"l",
9,271392,272084,"c",
10,272085,272348,"r",
11,272349,274526,"l",
12,274527,277859,"r",
13,277860,279014,"l",
14,279015,279575,"c",
15,279576,281060,"l",
16,281061,281654,"c",
17,281655,283931,"l",
18,283932,289574,"a",
19,289575,293270,"c",
20,293271,0,"l",
21,294459,294656,"c",
22,294657,300926,"r",
23,300927,302543,"c",
24,302544,305975,"r",
25,305976,308846,"c",
26,308847,309638,"l",
27,309639,313169,"c",
28,313170,314456,"r",
29,314457,316469,"a",
30,316470,317096,"c",
31,317097,320759,"l",
32,320760,324257,"c",
33,324258,326435,"l",
34,326436,328382,"c",
35,328383,334718,"r",
36,334719,335378,"l",
37,335379,336038,"c",
38,336039,337820,"l",
39,337821,339041,"r",
40,339042,339734,"l",
41,339735,340757,"c",
42,340758,343331,"r",
43,343332,344552,"l",
44,344553,346829,"r",
45,346830,347456,"l",
46,347457,347918,"c",
47,347919,349337,"r",
48,349338,349898,"l",
49,349899,350393,"c",
50,350394,350987,"r",
51,350988,351614,"c",
52,351615,352703,"l",
53,352704,353165,"c",
54,353166,355574,"r",
55,355575,356267,"c",
56,356268,357389,"l",
57,357390,358280,"c",
58,358281,363659,"l",
59,363660,365276,"r",
60,365277,366233,"l",
61,366234,367124,"r",
62,367125,370655,"l",
63,370656,372008,"r",
64,372009,372767,"l",
65,372768,373691,"r",
66,373692,375539,"l",
67,375540,376067,"c",
68,376068,377519,"l",
69,377520,0,"a",
