look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255482,0,"c",
1,260508,265471,"r",
2,265472,265845,"c",
3,265846,271149,"l",
4,271150,272271,"c",
5,272272,273291,"l",
6,273292,274787,"r",
7,274788,278833,"l",
8,278834,279139,"c",
9,279140,279751,"l",
10,279752,281349,"r",
11,281350,282063,"l",
12,282064,283151,"r",
13,283152,284579,"l",
14,284580,287095,"r",
15,287096,287605,"l",
16,287606,289815,"c",
17,289816,295017,"l",
18,295018,300695,"r",
19,300696,301137,"l",
20,301138,301511,"r",
21,301512,303721,"l",
22,303722,307461,"r",
23,307462,309059,"l",
24,309060,309807,"r",
25,309808,310657,"l",
26,310658,312085,"r",
27,312086,312765,"l",
28,312766,313921,"r",
29,313922,315213,"l",
30,315214,324631,"r",
31,324632,327317,"l",
32,327318,327725,"r",
33,327726,329493,"l",
34,329494,335749,"r",
35,335750,336157,"c",
36,336158,337483,"r",
37,337484,339829,"l",
38,339830,340373,"r",
39,340374,342447,"l",
40,342448,342923,"r",
41,342924,343739,"l",
42,343740,344759,"r",
43,344760,345915,"l",
44,345916,346391,"r",
45,346392,347989,"l",
46,347990,350709,"r",
47,350710,351321,"l",
48,351322,358733,"r",
49,358734,365397,"l",
50,365398,366723,"r",
51,366724,367165,"l",
52,367166,368661,"r",
53,368662,369341,"l",
54,369342,371143,"r",
55,371144,372571,"l",
56,372572,374713,"r",
57,374714,375359,"l",
58,375360,376379,"r",
59,376380,376957,"l",
60,376958,378963,"r",
61,378964,379640,"l",
62,379641,0,"a",
