look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257856,258127,"c",
1,258128,259147,"a",
2,259148,261323,"c",
3,261324,264621,"r",
4,264622,266559,"l",
5,266560,267001,"r",
6,267002,271999,"l",
7,272000,273087,"r",
8,273088,275025,"l",
9,275026,275739,"r",
10,275740,283355,"l",
11,283356,285735,"r",
12,285736,288319,"l",
13,288320,290563,"c",
14,290564,291583,"l",
15,291584,291889,"a",
16,291890,293351,"l",
17,293352,295289,"a",
18,295290,295833,"l",
19,295834,301069,"r",
20,301070,308209,"l",
21,308210,312085,"r",
22,312086,315825,"l",
23,315826,316573,"r",
24,316574,0,"c",
25,319022,320075,"r",
26,320076,321095,"l",
27,321096,321843,"r",
28,321844,323237,"l",
29,323238,324053,"r",
30,324054,325481,"c",
31,325482,328779,"r",
32,328780,329289,"c",
33,329290,330649,"l",
34,330650,331193,"r",
35,331194,336089,"l",
36,336090,336701,"c",
37,336702,338911,"r",
38,338912,343127,"l",
39,343128,349383,"r",
40,349384,349825,"l",
41,349826,350097,"r",
42,350098,351321,"l",
43,351322,351831,"r",
44,351832,352137,"l",
45,352138,354381,"c",
46,354382,357577,"r",
47,357578,358291,"l",
48,358292,361555,"a",
49,361556,371925,"l",
50,371926,374679,"r",
51,374680,380459,"l",
52,380460,381751,"a",
53,381752,382771,"l",
54,382772,383587,"a",
55,383588,384369,"l",
56,384370,386409,"r",
57,386410,387992,"l",
58,387993,0,"a",
