look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255850,255849,"c",
1,256235,257319,"l",
2,257320,257739,"c",
3,257740,257844,"r",
4,257845,258369,"l",
5,258370,259034,"r",
6,259035,259279,"a",
7,259280,260294,"c",
8,260295,261484,"l",
9,261485,261869,"c",
10,261870,262429,"r",
11,262430,263269,"l",
12,263270,264109,"c",
13,264110,264914,"a",
14,264915,265684,"l",
15,265685,266069,"r",
16,266070,269254,"l",
17,269255,270164,"c",
18,270165,270864,"l",
19,270865,272264,"r",
20,272265,274644,"l",
21,274645,276079,"r",
22,276080,277304,"a",
23,277305,277829,"l",
24,277830,278809,"r",
25,278810,284969,"l",
26,284970,285354,"r",
27,285355,287594,"c",
28,287595,292774,"l",
29,292775,298094,"r",
30,298095,298444,"l",
31,298445,299179,"c",
32,299180,300124,"l",
33,300125,304639,"r",
34,304640,305374,"l",
35,305375,306354,"a",
36,306355,307054,"l",
37,307055,308594,"r",
38,308595,310449,"l",
39,310450,312234,"r",
40,312235,313844,"l",
41,313845,314229,"r",
42,314230,317694,"c",
43,317695,322524,"c",
44,322525,327039,"l",
45,327040,327529,"a",
46,327530,327704,"c",
47,327705,332744,"r",
48,332745,333374,"l",
49,333375,333829,"c",
50,333830,334354,"r",
51,334355,336244,"l",
52,336245,336769,"r",
53,336770,341074,"a",
54,341075,341354,"c",
55,341355,342194,"l",
56,342195,343874,"r",
57,343875,344609,"l",
58,344610,345449,"r",
59,345450,346324,"l",
60,346325,347339,"a",
61,347340,348634,"l",
62,348635,348879,"r",
63,348880,351049,"c",
64,351050,356264,"r",
65,356265,361619,"l",
66,361620,362424,"r",
67,362425,362739,"c",
68,362740,365049,"l",
69,365050,366729,"r",
70,366730,368479,"l",
71,368480,368864,"c",
72,368865,369354,"r",
73,369355,369774,"a",
74,369775,369879,"c",
75,369880,372189,"l",
76,372190,373729,"r",
77,373730,377060,"l",
78,377061,0,"a",
