look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,260542,260677,"l",
1,260678,262853,"a",
2,262854,264485,"l",
3,264486,264927,"a",
4,264928,270299,"l",
5,270300,273087,"r",
6,273088,273665,"c",
7,273666,273971,"l",
8,273972,274345,"a",
9,274346,274787,"r",
10,274788,276181,"l",
11,276182,278663,"r",
12,278664,281689,"a",
13,281690,285055,"r",
14,285056,286109,"l",
15,286110,287605,"r",
16,287606,287911,"l",
17,287912,289917,"a",
18,289918,290529,"l",
19,290530,290801,"a",
20,290802,291277,"c",
21,291278,291821,"a",
22,291822,292093,"r",
23,292094,295595,"a",
24,295596,295969,"r",
25,295970,297193,"a",
26,297194,298723,"l",
27,298724,298995,"a",
28,298996,302939,"l",
29,302940,303109,"a",
30,303110,303551,"r",
31,303552,305319,"l",
32,305320,305727,"a",
33,305728,310997,"r",
34,310998,313479,"l",
35,313480,314295,"a",
36,314296,316607,"l",
37,316608,317593,"c",
38,317594,318579,"r",
39,318580,321401,"c",
40,321402,321707,"c",
41,321708,321945,"a",
42,321946,323883,"l",
43,323884,325243,"r",
44,325244,326127,"l",
45,326128,326739,"a",
46,326740,328439,"l",
47,328440,328881,"r",
48,328882,330513,"a",
49,330514,331499,"r",
50,331500,333947,"a",
51,333948,339625,"l",
52,339626,341835,"c",
53,341836,348125,"r",
54,348126,349077,"a",
55,349078,349621,"r",
56,349622,350233,"l",
57,350234,351389,"r",
58,351390,352579,"l",
59,352580,352885,"a",
60,352886,353497,"l",
61,353498,354109,"d",
62,354110,354279,"a",
63,354280,355129,"r",
64,355130,355741,"a",
65,355742,357237,"r",
66,357238,359549,"l",
67,359550,359855,"c",
68,359856,368695,"l",
69,368696,370055,"c",
70,370056,372095,"r",
71,372096,372503,"c",
72,372504,373999,"l",
73,374000,374611,"r",
74,374612,375053,"l",
75,375054,375325,"c",
76,375326,375631,"r",
77,375632,376617,"l",
78,376618,377501,"a",
79,377502,381445,"l",
80,381446,382174,"r",
81,382175,0,"a",
