look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257720,260405,"a",
1,260406,260575,"c",
2,260576,264553,"r",
3,264554,270367,"l",
4,270368,270673,"a",
5,270674,271081,"l",
6,271082,271829,"r",
7,271830,272509,"l",
8,272510,273257,"r",
9,273258,273971,"l",
10,273972,274787,"r",
11,274788,276929,"l",
12,276930,277167,"c",
13,277168,278017,"l",
14,278018,279037,"r",
15,279038,279955,"l",
16,279956,280499,"l",
17,280500,282947,"r",
18,282948,285021,"l",
19,285022,292501,"a",
20,292502,293657,"l",
21,293658,295527,"r",
22,295528,295799,"r",
23,295800,298893,"r",
24,298894,302055,"a",
25,302056,302497,"r",
26,302498,303041,"l",
27,303042,303721,"a",
28,303722,305387,"l",
29,305388,309059,"a",
30,309060,309467,"l",
31,309468,310011,"a",
32,310012,310623,"l",
33,310624,311235,"r",
34,311236,311745,"l",
35,311746,312085,"a",
36,312086,313853,"l",
37,313854,314839,"r",
38,314840,315247,"c",
39,315248,316335,"l",
40,316336,317763,"l",
41,317764,318477,"c",
42,318478,319837,"l",
43,319838,320415,"c",
44,320416,321163,"l",
45,321232,321979,"a",
46,321980,322557,"l",
47,322558,323883,"a",
48,323884,324053,"l",
49,324054,324223,"r",
50,324224,324937,"a",
51,324938,327419,"r",
52,327420,328439,"a",
53,328440,331261,"l",
54,331262,334661,"a",
55,334662,335103,"c",
56,335104,335613,"r",
57,335614,0,"a",
58,340544,341801,"l",
59,341802,341937,"c",
60,341938,342447,"l",
61,342448,343263,"a",
62,343264,343773,"l",
63,343774,344385,"r",
64,344386,345677,"l",
65,345678,346833,"l",
66,346834,347751,"r",
67,347752,349519,"l",
68,349520,349859,"r",
69,349860,350913,"l",
70,350914,351967,"a",
71,351968,352647,"r",
72,352648,356523,"r",
73,356524,357237,"r",
74,357238,357645,"c",
75,357646,359855,"l",
76,359856,360263,"c",
77,360264,361215,"l",
78,361216,362983,"r",
79,362984,363527,"l",
80,363528,364003,"r",
81,364004,364207,"c",
82,364208,364275,"l",
83,364276,364445,"c",
84,364446,365771,"l",
85,365772,366349,"a",
86,366350,366791,"r",
87,366792,367403,"l",
88,367404,367981,"r",
89,367982,368627,"c",
90,368628,369205,"a",
91,369206,369307,"r",
92,369308,370939,"l",
93,370940,371653,"r",
94,371654,372027,"l",
95,372028,373421,"a",
96,373422,374067,"l",
97,374068,376753,"r",
98,376754,377433,"l",
99,377434,377637,"c",
100,377638,0,"r",
