look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255816,258739,"c",
1,258740,264077,"l",
2,264078,269755,"r",
3,269756,271999,"l",
4,272000,274617,"r",
5,274618,277779,"l",
6,277780,279411,"r",
7,279412,281247,"l",
8,281248,285259,"r",
9,285260,285939,"l",
10,285940,288591,"a",
11,288592,290835,"r",
12,290836,293793,"a",
13,293794,294099,"r",
14,294100,294643,"l",
15,294644,299131,"a",
16,299132,300015,"c",
17,300016,301885,"l",
18,301886,302939,"r",
19,302940,306237,"a",
20,306238,307359,"r",
21,307360,309127,"a",
22,309128,311949,"r",
23,311950,313955,"l",
24,313956,315213,"c",
25,315214,318001,"c",
26,318002,322047,"c",
27,322048,327215,"l",
28,327216,333403,"r",
29,333404,334899,"l",
30,334900,335715,"r",
31,335716,337381,"l",
32,337382,339659,"r",
33,339660,341427,"l",
34,341428,341937,"r",
35,341938,344317,"l",
36,344318,345949,"r",
37,345950,347343,"a",
38,347344,348465,"l",
39,348466,349485,"a",
40,349486,350777,"c",
41,350778,355945,"l",
42,355946,361555,"r",
43,361556,362949,"l",
44,362950,363289,"r",
45,363290,365397,"r",
46,365398,367675,"l",
47,367676,370123,"a",
48,370124,371347,"r",
49,371348,372061,"a",
50,372062,375019,"r",
51,375020,377876,"l",
52,377877,0,"a",
