look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,256707,256970,"r",
1,256971,257894,"l",
2,257895,258092,"r",
3,258093,260732,"l",
4,260733,261623,"r",
5,261624,265088,"r",
6,265089,270335,"l",
7,270336,270467,"a",
8,270468,272018,"l",
9,272019,273866,"r",
10,273867,276044,"l",
11,276045,277397,"r",
12,277398,278750,"l",
13,278751,279641,"r",
14,279642,281225,"l",
15,281226,282116,"r",
16,282117,284195,"l",
17,284196,286538,"r",
18,286539,286604,"l",
19,286605,286901,"c",
20,286902,287660,"r",
21,287661,289541,"c",
22,289542,289673,"r",
23,289674,290168,"a",
24,290169,292181,"r",
25,292182,292379,"l",
26,292380,297494,"r",
27,297495,304490,"l",
28,304491,305546,"r",
29,305547,306173,"l",
30,306174,307130,"r",
31,307131,311156,"l",
32,311157,313136,"r",
33,313137,313466,"c",
34,313467,317921,"l",
35,317922,318383,"r",
36,318384,318614,"l",
37,318615,318878,"r",
38,318879,321221,"l",
39,321222,321320,"c",
40,321321,327194,"r",
41,327195,328415,"l",
42,328416,329570,"r",
43,329571,332408,"l",
44,332409,337754,"r",
45,337755,338645,"l",
46,338646,339470,"r",
47,339471,340592,"l",
48,340593,344222,"r",
49,344223,345872,"l",
50,345873,346664,"r",
51,346665,348743,"l",
52,348744,0,"r",
53,350262,354089,"l",
54,354090,356234,"r",
55,356235,358808,"l",
56,358809,359633,"a",
57,359634,360062,"l",
58,360063,361976,"a",
59,361977,362537,"r",
60,362538,362966,"a",
61,362967,363395,"r",
62,363396,369566,"a",
63,369567,370655,"r",
64,370656,371216,"r",
65,371217,371810,"l",
66,371811,372602,"a",
67,372603,372767,"r",
68,372768,0,"l",
69,375408,376001,"a",
70,376002,377552,"r",
71,377553,378476,"l",
72,378477,378938,"a",
73,378939,379367,"l",
74,379368,380819,"a",
75,380820,382040,"r",
76,382041,382460,"l",
77,382461,0,"a",
