look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,256014,258620,"c",
1,258621,263735,"l",
2,263736,269180,"r",
3,269181,270500,"l",
4,270501,273899,"r",
5,273900,275318,"l",
6,275319,276869,"c",
7,276870,277463,"r",
8,277464,284162,"l",
9,284163,285185,"r",
10,285186,287462,"c",
11,287463,292577,"r",
12,292578,297824,"l",
13,297825,298319,"c",
14,298320,299507,"r",
15,299508,302807,"l",
16,302808,303500,"c",
17,303501,304325,"r",
18,304326,307460,"l",
19,307461,311288,"r",
20,311289,314027,"l",
21,314028,318482,"c",
22,318483,319307,"a",
23,319308,322112,"c",
24,322113,327326,"r",
25,327327,333035,"l",
26,333036,334520,"r",
27,334521,337820,"l",
28,337821,338348,"c",
29,338349,339173,"r",
30,339174,340229,"l",
31,340230,340757,"c",
32,340758,341285,"l",
33,341286,343001,"r",
34,343002,347489,"l",
35,347490,348875,"r",
36,348876,350987,"c",
37,350988,356168,"l",
38,356169,361910,"r",
39,361911,362339,"c",
40,362340,362603,"l",
41,362604,368543,"r",
42,368544,368972,"l",
43,368973,369467,"c",
44,369468,369929,"r",
45,369930,370721,"l",
46,370722,374054,"r",
47,374055,375341,"l",
48,375342,375935,"c",
49,375936,377060,"r",
50,377061,0,"a",
