look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255238,257073,"a",
1,257074,258705,"c",
2,258706,263839,"r",
3,263840,270231,"l",
4,270232,271591,"r",
5,271592,272577,"l",
6,272578,273495,"r",
7,273496,276351,"l",
8,276352,277099,"c",
9,277100,277643,"l",
10,277644,280669,"r",
11,280670,284171,"l",
12,284172,285055,"r",
13,285056,287401,"l",
14,287402,292603,"r",
15,292604,298281,"l",
16,298282,298893,"a",
17,298894,299199,"l",
18,299200,300491,"r",
19,300492,309399,"l",
20,309400,310963,"r",
21,310964,312153,"l",
22,312154,313819,"r",
23,313820,316539,"l",
24,316540,316879,"r",
25,316880,317933,"l",
26,317934,319055,"r",
27,319056,322557,"l",
28,322558,322863,"r",
29,322864,323475,"l",
30,323476,327147,"r",
31,327148,329255,"l",
32,329256,335783,"a",
33,335784,336701,"r",
34,336702,338605,"l",
35,338606,342957,"c",
36,342958,343909,"r",
37,343910,344895,"l",
38,344896,345269,"c",
39,345270,346255,"r",
40,346256,346901,"l",
41,346902,347309,"a",
42,347310,349791,"c",
43,349792,352273,"r",
44,352274,357305,"c",
45,357306,357509,"r",
46,357510,359515,"l",
47,359516,360603,"a",
48,360604,361793,"r",
49,361794,362099,"l",
50,362100,363527,"r",
51,363528,364785,"l",
52,364786,365907,"c",
53,365908,366927,"r",
54,366928,368287,"l",
55,368288,369409,"c",
56,369410,370225,"l",
57,370226,372231,"a",
58,372232,373421,"l",
59,373422,374237,"a",
60,374238,374849,"l",
61,374850,0,"a",
