look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,254133,256112,"r",
1,256113,256970,"a",
2,256971,257432,"c",
3,257433,261953,"r",
4,261954,268289,"l",
5,268290,269246,"r",
6,269247,271061,"l",
7,271062,271655,"r",
8,271656,272942,"l",
9,272943,273206,"r",
10,273207,275681,"l",
11,275682,276374,"l",
12,276375,0,"r",
13,278289,278288,"",
14,278289,283832,"l",
15,283833,286076,"c",
16,286077,290498,"r",
17,290499,291290,"r",
18,291291,298187,"l",
19,298188,299144,"r",
20,299145,302873,"l",
21,302874,303764,"r",
22,303765,306074,"c",
23,306075,306569,"r",
24,306570,312575,"l",
25,312576,313301,"r",
26,313302,313829,"a",
27,313830,317162,"r",
28,317163,318020,"a",
29,318021,320660,"r",
30,320661,322739,"c",
31,322740,323267,"a",
32,323268,331484,"r",
33,331485,332177,"l",
34,332178,333365,"r",
35,333366,333926,"l",
36,333927,338381,"r",
37,338382,339404,"l",
38,339405,345839,"r",
39,345840,347621,"a",
40,347622,349502,"l",
41,349503,350855,"a",
42,350856,354518,"l",
43,354519,359699,"r",
44,359700,360590,"l",
45,360591,360986,"r",
46,360987,361712,"l",
47,361713,362768,"r",
48,362769,364022,"l",
49,364023,364583,"r",
50,364584,364715,"l",
51,364716,365276,"r",
52,365277,365936,"l",
53,365937,366827,"r",
54,366828,367817,"c",
55,367818,369731,"r",
56,369732,370160,"l",
57,370161,372965,"r",
58,372966,373295,"l",
59,373296,375440,"r",
60,375441,0,"a",
