look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,258819,261854,"c",
1,261855,263735,"l",
2,263736,267332,"l",
3,267333,272876,"r",
4,272877,273536,"c",
5,273537,275483,"l",
6,275484,279509,"r",
7,279510,280004,"c",
8,280005,280697,"r",
9,280698,282611,"l",
10,282612,283040,"r",
11,283041,283799,"l",
12,283800,286769,"r",
13,286770,288683,"l",
14,288684,291356,"c",
15,291357,295415,"r",
16,295416,296702,"a",
17,296703,296999,"r",
18,297000,302081,"l",
19,302082,303236,"r",
20,303237,304886,"l",
21,304887,308054,"r",
22,308055,308384,"l",
23,308385,309440,"r",
24,309441,310100,"l",
25,310101,310364,"r",
26,310365,312476,"l",
27,312477,314687,"r",
28,314688,315776,"l",
29,315777,317954,"r",
30,317955,322607,"c",
31,322608,323762,"l",
32,323763,326567,"c",
33,326568,328250,"r",
34,328251,328580,"a",
35,328581,332837,"r",
36,332838,333761,"l",
37,333762,335708,"a",
38,335709,336962,"l",
39,336963,338084,"a",
40,338085,339173,"l",
41,339174,340328,"r",
42,340329,342308,"l",
43,342309,344651,"r",
44,344652,345344,"l",
45,345345,345806,"r",
46,345807,346763,"l",
47,346764,347852,"r",
48,347853,348380,"l",
49,348381,351713,"r",
50,351714,352868,"a",
51,352869,355673,"c",
52,355674,361118,"l",
53,361119,366728,"r",
54,366729,367652,"c",
55,367653,368411,"l",
56,368412,368906,"r",
57,368907,369467,"l",
58,369468,372602,"r",
59,372603,373394,"l",
60,373395,376331,"r",
61,376332,379202,"l",
62,379203,379829,"r",
63,379830,380720,"l",
64,380721,381116,"a",
65,381117,381743,"l",
66,381744,381941,"a",
67,381942,0,"l",
