look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,266442,267035,"a",
1,267036,268025,"l",
2,268026,269543,"r",
3,269544,274691,"l",
4,274692,281093,"r",
5,281094,282347,"a",
6,282348,283073,"l",
7,283074,285053,"r",
8,285054,286637,"l",
9,286638,287363,"r",
10,287364,288155,"l",
11,288156,288683,"r",
12,288684,289277,"l",
13,289278,290333,"r",
14,290334,290795,"l",
15,290796,291257,"r",
16,291258,292709,"l",
17,292710,295679,"r",
18,295680,299375,"l",
19,299376,304325,"r",
20,304326,306173,"l",
21,306174,308549,"c",
22,308550,310133,"l",
23,310134,311189,"r",
24,311190,315743,"l",
25,315744,316799,"r",
26,316800,317195,"l",
27,317196,319241,"r",
28,319242,321419,"l",
29,321420,322211,"r",
30,322212,324125,"l",
31,324126,326039,"r",
32,326040,329801,"l",
33,329802,330461,"a",
34,330462,330989,"l",
35,330990,334025,"c",
36,334026,336797,"l",
37,336798,340427,"c",
38,340428,345509,"r",
39,345510,346763,"l",
40,346764,347027,"c",
41,347028,348941,"l",
42,348942,351779,"r",
43,351780,352835,"l",
44,352836,353165,"r",
45,353166,353627,"l",
46,353628,354287,"c",
47,354288,355079,"l",
48,355080,357389,"r",
49,357390,358577,"l",
50,358578,359963,"r",
51,359964,360293,"l",
52,360294,361283,"r",
53,361284,362207,"l",
54,362208,368213,"c",
55,368214,369731,"r",
56,369732,376199,"l",
57,376200,377585,"r",
58,377586,378443,"l",
59,378444,379961,"r",
60,379962,382403,"l",
61,382404,382733,"r",
62,382734,383327,"l",
63,383328,384581,"r",
64,384582,386825,"l",
65,386826,387815,"r",
66,387816,390804,"l",
67,390805,0,"a",
