look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,261460,264757,"c",
1,264758,267205,"l",
2,267206,270129,"a",
3,270130,275637,"r",
4,275638,277609,"l",
5,277610,278901,"r",
6,278902,280261,"l",
7,280262,281417,"a",
8,281418,282777,"l",
9,282778,283151,"c",
10,283152,284613,"l",
11,284614,285497,"r",
12,285498,288353,"l",
13,288354,292059,"r",
14,292060,294303,"c",
15,294304,296105,"l",
16,296106,298417,"a",
17,298418,299097,"c",
18,299098,299641,"l",
19,299642,305761,"r",
20,305762,308311,"l",
21,308312,309365,"r",
22,309366,312425,"a",
23,312426,313139,"c",
24,313140,316981,"r",
25,316982,320211,"l",
26,320212,321299,"r",
27,321300,322693,"l",
28,322694,323271,"c",
29,323272,323883,"r",
30,323884,325617,"c",
31,325618,326025,"r",
32,326026,326569,"c",
33,326570,327623,"l",
34,327624,328405,"c",
35,328406,330071,"l",
36,330072,332111,"r",
37,332112,333403,"l",
38,333404,334219,"c",
39,334220,335477,"r",
40,335478,340305,"l",
41,340306,340815,"c",
42,340816,341019,"l",
43,341020,341291,"a",
44,341292,341359,"l",
45,341360,342107,"c",
46,342108,342685,"l",
47,342686,344793,"r",
48,344794,346663,"l",
49,346664,348363,"a",
50,348364,348703,"l",
51,348704,349315,"c",
52,349316,351695,"r",
53,351696,353225,"l",
54,353226,355163,"r",
55,355164,357441,"l",
56,357442,359685,"c",
57,359686,361759,"l",
58,361760,362337,"c",
59,362338,364921,"l",
60,364922,370939,"r",
61,370940,372333,"l",
62,372334,376311,"r",
63,376312,377025,"a",
64,377026,377807,"l",
65,377808,378147,"a",
66,378148,379473,"r",
67,379474,381853,"l",
68,381854,386119,"r",
69,386120,0,"a",
