look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257367,257795,"c",
1,257796,258125,"r",
2,258126,258554,"l",
3,258555,258686,"c",
4,258687,259841,"r",
5,259842,260732,"l",
6,260733,261392,"r",
7,261393,262745,"c",
8,262746,266969,"l",
9,267135,268091,"c",
10,268092,268784,"l",
11,268785,269708,"c",
12,269709,270731,"l",
13,270732,271754,"c",
14,271755,272777,"l",
15,272778,273800,"c",
16,273801,275351,"r",
17,275352,276011,"l",
18,276012,277397,"c",
19,277398,277826,"r",
20,277827,278618,"c",
21,278619,279443,"r",
22,279444,280565,"l",
23,280566,281126,"r",
24,281127,281456,"l",
25,281457,283601,"r",
26,283602,286670,"l",
27,286671,287264,"r",
28,287265,287858,"c",
29,287859,289277,"r",
30,289278,289871,"c",
31,289872,293897,"l",
32,293898,294161,"r",
33,294162,294425,"l",
34,294426,300068,"r",
35,300069,301289,"r",
36,301290,302477,"l",
37,302478,302774,"r",
38,302775,303335,"l",
39,303336,307031,"r",
40,307032,307658,"c",
41,307659,308549,"r",
42,308550,309374,"l",
43,309375,310232,"r",
44,310233,310859,"l",
45,310860,313796,"r",
46,313797,315479,"l",
47,315480,317195,"r",
48,317196,318317,"c",
49,318318,321287,"r",
50,321288,322442,"l",
51,322443,324026,"c",
52,324027,329306,"r",
53,329307,334619,"l",
54,334620,335114,"c",
55,335115,336170,"r",
56,336171,337061,"l",
57,337062,337589,"r",
58,337590,337721,"c",
59,337722,339041,"l",
60,339042,342176,"r",
61,342177,344651,"r",
62,344652,347819,"l",
63,347820,349271,"r",
64,349272,350756,"l",
65,350757,352967,"c",
66,352968,358148,"r",
67,358149,363428,"l",
68,363429,365144,"r",
69,365145,366596,"l",
70,366597,367124,"r",
71,367125,369731,"l",
72,369732,370424,"r",
73,370425,370688,"c",
74,370689,371249,"l",
75,371250,371777,"r",
76,371778,374219,"l",
77,374220,374714,"r",
78,374715,375803,"l",
79,375804,377387,"r",
80,377388,0,"l",
