look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255000,257277,"a",
1,257278,257753,"c",
2,257754,258093,"a",
3,258094,258569,"c",
4,258570,259351,"a",
5,259352,260405,"c",
6,260406,260915,"a",
7,260916,261289,"l",
8,261290,263227,"l",
9,263228,267715,"r",
10,267716,268429,"a",
11,268430,268633,"r",
12,268634,269925,"l",
13,269620,0,"r",
14,271592,272033,"l",
15,272034,272577,"r",
16,272578,273529,"l",
17,273530,275365,"r",
18,275366,276589,"l",
19,276590,277031,"c",
20,277032,277575,"a",
21,277576,279003,"l",
22,279004,279581,"a",
23,279582,281859,"l",
24,281860,283933,"a",
25,283934,284205,"c",
26,284206,284681,"a",
27,284682,285123,"l",
28,285124,286177,"a",
29,286178,286517,"l",
30,286518,286857,"a",
31,286858,287741,"r",
32,287742,291549,"a",
33,291550,291889,"r",
34,291890,295357,"l",
35,295358,295935,"a",
36,295936,297159,"l",
37,297160,299947,"a",
38,299948,300253,"l",
39,300254,301103,"a",
40,301104,301613,"l",
41,301614,301851,"r",
42,301852,302225,"a",
43,302226,303143,"r",
44,303144,303551,"l",
45,303552,306135,"a",
46,306136,306747,"l",
47,306748,307631,"r",
48,307632,308379,"l",
49,308380,311507,"r",
50,311508,313071,"a",
51,313072,314703,"l",
52,314704,315757,"a",
53,315758,317253,"r",
54,317254,318307,"a",
55,318308,318613,"r",
56,318614,319259,"a",
57,319260,320993,"l",
58,320994,321401,"a",
59,321402,321639,"l",
60,321640,322489,"r",
61,322490,323067,"a",
62,323068,323951,"r",
63,323952,324529,"a",
64,324530,326603,"r",
65,326604,329799,"l",
66,329800,330547,"a",
67,330548,335851,"l",
68,335852,336157,"a",
69,336158,336599,"l",
70,336600,337483,"a",
71,337484,338299,"r",
72,338300,341835,"l",
73,341836,342651,"r",
74,342652,343841,"l",
75,343842,346289,"r",
76,346290,348023,"l",
77,348024,349587,"c",
78,349588,350199,"a",
79,350200,352613,"r",
80,352614,353565,"a",
81,353566,355333,"r",
82,355334,356387,"l",
83,356388,356591,"r",
84,356592,357271,"a",
85,357272,358019,"l",
86,358020,358053,"r",
87,358054,360093,"a",
88,360094,361555,"l",
89,361556,362031,"c",
90,362032,362847,"a",
91,362848,363357,"r",
92,363358,365125,"l",
93,365126,366553,"r",
94,366554,369579,"l",
95,369580,370021,"r",
96,370056,370633,"a",
97,370634,371721,"r",
98,371722,0,"l",
99,372198,372537,"c",
100,372538,374407,"a",
101,374408,374815,"r",
102,374816,376175,"a",
103,376176,0,"a",
