look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,248010,251369,"l",
1,251370,0,"c",
2,252910,256129,"l",
3,256130,261344,"r",
4,261345,266454,"l",
5,266455,267049,"r",
6,267050,267994,"l",
7,267995,271914,"r",
8,271915,272684,"l",
9,272685,272859,"r",
10,272860,273594,"l",
11,273595,274959,"c",
12,274960,275169,"c",
13,275170,275519,"r",
14,275520,276079,"l",
15,276080,278109,"r",
16,278110,278599,"l",
17,278600,279194,"r",
18,279195,280069,"l",
19,280070,281049,"r",
20,281050,281294,"a",
21,281295,282169,"r",
22,282170,289729,"l",
23,289730,290604,"r",
24,290605,0,"l",
25,291130,291409,"r",
26,291410,292249,"l",
27,292250,294979,"r",
28,294980,297744,"l",
29,297745,299074,"r",
30,299075,299844,"l",
31,299845,301839,"r",
32,301840,304464,"l",
33,304465,304954,"c",
34,304955,306389,"a",
35,306390,306704,"l",
36,306705,307089,"r",
37,307090,308209,"l",
38,308210,310659,"r",
39,310660,310904,"l",
40,310905,313879,"c",
41,313880,317099,"a",
42,317100,319409,"r",
43,319410,322069,"a",
44,322070,324064,"r",
45,324065,331519,"l",
46,331520,332464,"r",
47,332465,333339,"l",
48,333340,334214,"r",
49,334215,334809,"l",
50,334810,335019,"a",
51,335020,336314,"l",
52,336315,336489,"a",
53,336490,339254,"l",
54,339255,340164,"r",
55,340165,340444,"l",
56,340445,341074,"r",
57,341075,341564,"l",
58,341565,343944,"r",
59,343945,346639,"l",
60,346640,347864,"c",
61,347865,351784,"r",
62,351785,352029,"l",
63,352030,352834,"r",
64,352835,358644,"l",
65,358645,359484,"r",
66,359485,360429,"l",
67,360430,361619,"r",
68,361620,361864,"l",
69,361865,363649,"r",
70,363650,364279,"l",
71,364280,365189,"r",
72,365190,366519,"l",
73,366520,367744,"r",
74,367745,369249,"l",
75,369250,369949,"r",
76,369950,370404,"l",
77,370405,371174,"r",
78,371175,371874,"l",
79,371875,373029,"r",
80,373030,373700,"l",
81,373701,0,"a",
