look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257202,258323,"a",
1,258324,259082,"c",
2,259083,259280,"r",
3,259281,260732,"a",
4,260733,265649,"r",
5,265650,271952,"l",
6,271953,272381,"r",
7,272382,272777,"l",
8,272778,275450,"r",
9,275451,276077,"r",
10,276078,277199,"l",
11,277200,277496,"r",
12,277497,278486,"l",
13,278487,278882,"c",
14,278883,279245,"r",
15,279246,280499,"c",
16,280500,281852,"l",
17,281853,284690,"r",
18,284691,285086,"l",
19,285087,286934,"r",
20,286935,287264,"l",
21,287265,287462,"l",
22,287463,287858,"l",
23,287859,288782,"r",
24,288783,289871,"a",
25,289872,294755,"l",
26,294756,300233,"r",
27,300234,300530,"a",
28,300531,301025,"c",
29,301026,302906,"l",
30,302907,304622,"r",
31,304623,304721,"l",
32,304722,305546,"r",
33,305547,306536,"l",
34,306537,307361,"r",
35,307362,308219,"c",
36,308220,308615,"r",
37,308616,310100,"l",
38,310101,310595,"r",
39,310596,311783,"l",
40,311784,313136,"r",
41,313137,315578,"l",
42,315579,316667,"c",
43,316668,324422,"r",
44,324423,326798,"l",
45,326799,326996,"a",
46,326997,329636,"l",
47,329637,331352,"r",
48,331353,335180,"r",
49,335181,335972,"c",
50,335973,337655,"l",
51,337656,337886,"r",
52,337887,338117,"l",
53,338118,340889,"r",
54,340890,342044,"l",
55,342045,342242,"r",
56,342243,343166,"a",
57,343167,344519,"r",
58,344520,347984,"l",
59,347985,351119,"r",
60,351120,353462,"c",
61,353463,358577,"r",
62,358578,364220,"l",
63,364221,364847,"c",
64,364848,365210,"l",
65,365211,366068,"r",
66,366069,366365,"l",
67,366366,367388,"r",
68,367389,368609,"l",
69,368610,370754,"r",
70,370755,371579,"l",
71,371580,372470,"r",
72,372471,376892,"l",
73,376893,377387,"r",
74,377388,377552,"l",
75,377553,378575,"r",
76,378576,378872,"l",
77,378873,380608,"r",
78,380609,0,"a",
