look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,259050,261062,"c",
1,261063,262283,"r",
2,262284,267464,"l",
3,267465,272810,"r",
4,272811,274526,"l",
5,274527,275945,"r",
6,275946,276539,"l",
7,276540,277232,"r",
8,277233,279212,"l",
9,279213,279707,"r",
10,279708,280004,"l",
11,280005,282545,"r",
12,282546,283040,"l",
13,283041,283799,"r",
14,283800,285416,"l",
15,285417,287759,"r",
16,287760,289244,"l",
17,289245,289904,"r",
18,289905,290201,"l",
19,290202,291587,"l",
20,291588,292280,"a",
21,292281,297131,"r",
22,297132,303137,"l",
23,303138,303401,"a",
24,303402,304787,"r",
25,304788,306008,"r",
26,306009,314720,"l",
27,314721,318614,"r",
28,318615,319043,"l",
29,319044,320066,"r",
30,320067,322244,"l",
31,322245,327062,"c",
32,327063,327227,"l",
33,327228,331154,"r",
34,331155,331451,"l",
35,331452,332276,"r",
36,332277,334157,"l",
37,334158,335840,"l",
38,335841,336368,"a",
39,336369,339041,"l",
40,339042,340064,"r",
41,340065,342704,"l",
42,342705,343265,"r",
43,343266,344750,"l",
44,344751,345872,"r",
45,345873,347357,"l",
46,347358,348314,"r",
47,348315,349502,"l",
48,349503,350558,"r",
49,350559,353198,"l",
50,353199,353693,"r",
51,353694,353990,"l",
52,353991,356333,"c",
53,356334,359567,"r",
54,359568,360425,"r",
55,360426,360953,"l",
56,360954,361580,"r",
57,361581,367025,"l",
58,367026,367454,"r",
59,367455,368246,"l",
60,368247,369863,"r",
61,369864,371282,"l",
62,371283,372998,"r",
63,372999,373460,"r",
64,373461,374087,"l",
65,374088,374483,"r",
66,374484,376100,"l",
67,376101,376760,"r",
68,376761,378278,"l",
69,378279,379004,"r",
70,379005,379829,"l",
71,379830,382756,"r",
72,382757,0,"a",
