look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,253963,256673,"c",
1,256674,257366,"a",
2,257367,257729,"c",
3,257730,263075,"l",
4,263076,269708,"r",
5,269709,269807,"r",
6,269808,275351,"l",
7,275352,277595,"a",
8,277596,278948,"l",
9,278949,279245,"r",
10,279246,279872,"l",
11,279873,280367,"r",
12,280368,284360,"l",
13,284361,284789,"c",
14,284790,285185,"a",
15,285186,286043,"r",
16,286044,286835,"a",
17,286836,291719,"l",
18,291720,298055,"r",
19,298056,298682,"l",
20,298683,301421,"a",
21,301422,301850,"l",
22,301851,304160,"a",
23,304161,304820,"c",
24,304821,305117,"r",
25,305118,305381,"a",
26,305382,305942,"l",
27,305943,307460,"a",
28,307461,308087,"l",
29,308088,308879,"r",
30,308880,309011,"l",
31,309012,311750,"a",
32,311751,312047,"l",
33,312048,313499,"a",
34,313500,315281,"c",
35,315282,315908,"l",
36,315909,316535,"r",
37,316536,317921,"l",
38,317922,320198,"r",
39,320199,321320,"a",
40,321321,324587,"r",
41,324588,325940,"a",
42,325941,326303,"r",
43,326304,328415,"l",
44,328416,330065,"a",
45,330066,330230,"c",
46,330231,331781,"l",
47,331782,332309,"c",
48,332310,332870,"a",
49,332871,333563,"l",
50,333564,334421,"r",
51,334422,336995,"l",
52,336996,338282,"a",
53,338283,339866,"l",
54,339867,340922,"a",
55,340923,341615,"l",
56,341616,342473,"r",
57,342474,347819,"l",
58,347820,348314,"r",
59,348315,348677,"a",
60,348678,351218,"r",
61,351219,351515,"a",
62,351516,351647,"r",
63,351648,351878,"a",
64,351879,355178,"r",
65,355179,356894,"l",
66,356895,358610,"a",
67,358611,361877,"l",
68,361878,362471,"r",
69,362472,363197,"l",
70,363198,366398,"r",
71,366399,366794,"a",
72,366795,367553,"r",
73,367554,368477,"a",
74,368478,369335,"l",
75,369336,372173,"r",
76,372174,375242,"l",
77,375243,376052,"r",
78,376053,0,"a",
