look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255103,258510,"c",
1,258511,260285,"l",
2,260286,263622,"a",
3,263623,263835,"l",
4,263836,268947,"r",
5,268948,272213,"r",
6,272214,274840,"l",
7,274841,275976,"r",
8,275977,279242,"r",
9,279243,282721,"l",
10,282722,285135,"r",
11,285136,286129,"l",
12,286130,286910,"a",
13,287124,287407,"c",
14,287408,290389,"r",
15,290390,291383,"a",
16,291384,292519,"r",
17,292520,295501,"l",
18,295502,296353,"a",
19,296354,297773,"l",
20,297774,298554,"c",
21,298555,299335,"r",
22,299336,301536,"l",
23,301537,301891,"r",
24,301892,302672,"a",
25,302673,302885,"r",
26,302886,303737,"l",
27,303738,304589,"r",
28,304590,304873,"l",
29,304874,305796,"r",
30,305797,309843,"l",
31,309844,310127,"r",
32,310128,311334,"l",
33,311335,313606,"r",
34,313607,315239,"c",
35,315240,315594,"a",
36,315595,321700,"r",
37,321701,326883,"l",
38,326884,333770,"r",
39,333771,335829,"l",
40,335830,336894,"r",
41,336895,338527,"a",
42,338528,339237,"l",
43,339238,340231,"c",
44,340232,340515,"r",
45,340516,340586,"l",
46,340587,346053,"a",
47,346054,346266,"l",
48,346267,350455,"a",
49,350456,352514,"l",
50,352515,358833,"a",
51,358834,360040,"r",
52,360041,361034,"a",
53,361035,364939,"r",
54,364940,366217,"l",
55,366218,368205,"r",
56,368206,369767,"r",
57,369768,370832,"l",
58,370833,373956,"r",
59,373957,374737,"l",
60,374738,375234,"c",
61,375235,376299,"r",
62,376300,376580,"l",
63,376581,0,"a",
