look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,254958,255749,"c",
1,255750,256244,"l",
2,256245,257465,"c",
3,257466,258554,"a",
4,258555,258752,"l",
5,258753,260435,"r",
6,260436,261623,"a",
7,261624,262283,"r",
8,262284,265484,"l",
9,265485,267629,"a",
10,267630,269576,"l",
11,269577,271391,"r",
12,271392,271622,"l",
13,271623,272183,"a",
14,272184,272645,"r",
15,272646,277595,"a",
16,277596,279773,"r",
17,279774,280400,"a",
18,280401,280829,"r",
19,280830,285647,"l",
20,285648,285944,"r",
21,285945,288089,"l",
22,288090,290399,"r",
23,290400,293105,"a",
24,293106,293336,"r",
25,293337,296339,"l",
26,296340,296471,"a",
27,296472,297329,"l",
28,297330,297758,"a",
29,297759,298880,"l",
30,298881,299309,"l",
31,299310,300068,"r",
32,300069,300200,"a",
33,300201,301850,"l",
34,301851,302576,"r",
35,302577,303236,"c",
36,303237,309176,"l",
37,309177,309869,"r",
38,309870,314852,"l",
39,314853,316568,"r",
40,316569,317162,"l",
41,317163,318449,"r",
42,318450,318911,"l",
43,318912,319340,"l",
44,319341,320693,"l",
45,320694,328151,"r",
46,328152,333530,"l",
47,333531,334322,"c",
48,334323,335213,"l",
49,335214,337358,"r",
50,337359,338117,"l",
51,338118,338909,"r",
52,338910,339470,"l",
53,339471,340658,"r",
54,340659,341054,"l",
55,341055,341219,"c",
56,341220,342275,"l",
57,342276,346070,"r",
58,346071,349799,"l",
59,349800,351152,"r",
60,351153,351911,"c",
61,351912,352967,"l",
62,352968,353660,"a",
63,353661,357125,"l",
64,357126,362471,"r",
65,362472,362834,"c",
66,362835,363164,"c",
67,363165,365474,"l",
68,365475,367124,"r",
69,367125,367982,"l",
70,367983,369368,"a",
71,369369,370985,"l",
72,370986,371678,"r",
73,371679,372305,"l",
74,372306,377090,"a",
75,377091,377651,"c",
76,377652,377849,"a",
77,377850,0,"c",
