look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,250349,251987,"l",
1,251988,252449,"r",
2,252450,253142,"l",
3,253143,254198,"c",
4,254199,254693,"r",
5,254694,255254,"c",
6,255255,255815,"c",
7,255816,256211,"c",
8,256212,259841,"r",
9,259842,261029,"c",
10,261030,262778,"l",
11,262779,267992,"r",
12,267993,272117,"l",
13,272118,272513,"c",
14,272514,274262,"l",
15,274263,274988,"r",
16,274989,275516,"l",
17,275517,275846,"r",
18,275847,276407,"l",
19,276408,277199,"r",
20,277200,277859,"l",
21,277860,278651,"r",
22,278652,281456,"l",
23,281457,284294,"l",
24,284295,284987,"r",
25,284988,287594,"l",
26,287595,288254,"r",
27,288255,289376,"l",
28,289377,289640,"r",
29,289641,290267,"c",
30,290268,292082,"l",
31,292083,295448,"r",
32,295449,297230,"r",
33,297231,299276,"l",
34,299277,300827,"l",
35,300828,301652,"c",
36,301653,302576,"l",
37,302577,303962,"a",
38,303963,305084,"r",
39,305085,306305,"l",
40,306306,307757,"r",
41,307758,307955,"c",
42,307956,312410,"a",
43,312411,313136,"r",
44,313137,313565,"l",
45,313566,314324,"r",
46,314325,315479,"l",
47,315480,316436,"r",
48,316437,317756,"l",
49,317757,318515,"r",
50,318516,318911,"l",
51,318912,319802,"c",
52,319803,320858,"l",
53,320859,321386,"c",
54,321387,323729,"c",
55,323730,326600,"r",
56,326601,326831,"l",
57,326832,327227,"r",
58,327228,332177,"l",
59,332178,338678,"r",
60,338679,339107,"c",
61,339108,339338,"l",
62,339339,340394,"r",
63,340395,341087,"l",
64,341088,342770,"r",
65,342771,343232,"l",
66,343233,343760,"r",
67,343761,344387,"l",
68,344388,345476,"r",
69,345477,346268,"l",
70,346269,348743,"r",
71,348744,349106,"l",
72,349107,352901,"r",
73,352902,353264,"a",
74,353265,354518,"r",
75,354519,356696,"c",
76,356697,361877,"l",
77,361878,363824,"r",
78,363825,368048,"r",
79,368049,368312,"c",
80,368313,368510,"r",
81,368511,368873,"l",
82,368874,369005,"c",
83,369006,369500,"r",
84,369501,370523,"l",
85,370524,371117,"r",
86,371118,372602,"l",
87,372603,374351,"r",
88,374352,375308,"c",
89,375309,375902,"l",
90,375903,376232,"r",
91,376233,377024,"l",
92,377025,379961,"r",
93,379962,380621,"l",
94,380622,382997,"r",
95,382998,0,"l",
