look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255034,258297,"c",
1,258298,263363,"r",
2,263364,269585,"l",
3,269586,270537,"r",
4,270538,272577,"l",
5,272578,274277,"r",
6,274278,276623,"l",
7,276624,278765,"r",
8,278766,282029,"l",
9,282030,282233,"c",
10,282234,284715,"l",
11,284716,286891,"c",
12,286892,292127,"r",
13,292128,297975,"l",
14,297976,298349,"c",
15,298350,299369,"l",
16,299370,300389,"r",
17,300390,307495,"l",
18,307496,308107,"r",
19,308108,313343,"l",
20,313344,321537,"c",
21,321538,326773,"r",
22,326774,330071,"l",
23,330072,330411,"r",
24,330412,330615,"l",
25,330616,331159,"r",
26,331160,333267,"c",
27,333268,333607,"l",
28,333608,334117,"r",
29,334118,336055,"l",
30,336056,336599,"r",
31,336600,337041,"l",
32,337042,337619,"r",
33,337620,338231,"l",
34,338232,339149,"r",
35,339150,340033,"c",
36,340034,340339,"r",
37,340340,341359,"l",
38,341360,341835,"r",
39,341836,342141,"l",
40,342142,342685,"r",
41,342686,345303,"l",
42,345304,346017,"r",
43,346018,346731,"l",
44,346732,347479,"r",
45,347480,348159,"l",
46,348160,350301,"c",
47,350302,355503,"l",
48,355504,360943,"r",
49,360944,361725,"c",
50,361726,362031,"l",
51,362032,364887,"r",
52,364888,366077,"l",
53,366078,368185,"r",
54,368186,368763,"c",
55,368764,369375,"l",
56,369376,373353,"r",
57,373354,374815,"l",
58,374816,376340,"a",
59,376341,0,"a",
