look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,254265,257135,"c",
1,257136,262283,"r",
2,262284,268751,"l",
3,268752,269576,"r",
4,269577,270137,"l",
5,270138,271028,"r",
6,271029,272744,"l",
7,272745,273734,"r",
8,273735,275747,"l",
9,275748,276308,"r",
10,276309,278255,"l",
11,278256,282413,"r",
12,282414,285845,"l",
13,285846,288848,"r",
14,288849,289013,"a",
15,289014,289409,"l",
16,289410,290927,"r",
17,290928,295283,"l",
18,295284,295943,"c",
19,295944,297263,"l",
20,297264,299606,"r",
21,299607,301850,"l",
22,301851,303170,"r",
23,303171,304622,"l",
24,304623,307295,"r",
25,307296,308450,"l",
26,308451,310958,"r",
27,310959,312245,"l",
28,312246,313004,"r",
29,313005,313664,"c",
30,313665,319406,"r",
31,319407,320165,"r",
32,320166,325643,"l",
33,325644,331088,"r",
34,331089,331847,"l",
35,331848,333002,"r",
36,333003,333728,"l",
37,333729,334454,"r",
38,334455,335015,"l",
39,335016,337721,"r",
40,337722,339041,"l",
41,339042,340526,"r",
42,340527,341252,"l",
43,341253,343925,"r",
44,343926,345245,"l",
45,345246,346499,"r",
46,346500,348875,"c",
47,348876,353297,"l",
48,353298,354452,"a",
49,354453,359303,"r",
50,359304,360491,"l",
51,360492,361745,"r",
52,361746,362801,"l",
53,362802,363989,"r",
54,363990,364946,"l",
55,364947,366398,"a",
56,366399,366563,"r",
57,366564,367190,"c",
58,367191,368081,"r",
59,368082,368840,"l",
60,368841,370259,"r",
61,370260,371612,"l",
62,371613,374549,"r",
63,374550,374840,"l",
64,374841,0,"a",
