look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,256292,256801,"c",
1,256802,258909,"l",
2,258910,259555,"a",
3,259556,259623,"c",
4,259624,260507,"l",
5,260508,264417,"l",
6,264418,269857,"r",
7,269858,271251,"c",
8,271252,276589,"c",
9,276590,277269,"a",
10,277270,277711,"l",
11,277712,278561,"r",
12,278562,279173,"l",
13,279174,279887,"r",
14,279888,280159,"l",
15,280160,281009,"r",
16,281010,283287,"l",
17,283288,285871,"r",
18,285872,288217,"c",
19,288218,293487,"l",
20,293488,298655,"r",
21,298656,299165,"a",
22,299166,299845,"l",
23,299846,0,"l",
24,300016,300729,"r",
25,300730,301375,"c",
26,301376,301749,"l",
27,301750,302123,"r",
28,302124,304027,"a",
29,304028,307835,"l",
30,307836,308617,"r",
31,308618,308889,"a",
32,308890,309841,"l",
33,309842,311847,"r",
34,311848,314295,"l",
35,314296,314499,"r",
36,314500,314873,"l",
37,314874,323237,"c",
38,323238,324495,"l",
39,324496,325617,"r",
40,325618,325957,"l",
41,325958,327997,"r",
42,327998,328915,"l",
43,328916,333947,"r",
44,333948,334729,"c",
45,334730,335851,"l",
46,335852,339013,"r",
47,339014,340917,"l",
48,340918,343875,"a",
49,343876,344453,"l",
50,344454,346663,"r",
51,346664,348057,"l",
52,348058,349859,"r",
53,349860,350743,"l",
54,350744,350981,"a",
55,350982,352069,"l",
56,352070,357373,"r",
57,357374,363221,"l",
58,363222,363493,"c",
59,363494,364071,"l",
60,364072,365091,"r",
61,365092,366519,"l",
62,366520,370089,"r",
63,370090,370667,"l",
64,370668,371891,"r",
65,371892,375053,"l",
66,375054,378200,"r",
67,378201,0,"a",
