look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,262479,262736,"a",
1,262737,262958,"l",
2,262959,264179,"r",
3,264180,266621,"l",
4,266622,269063,"r",
5,269064,272504,"c",
6,272505,273281,"l",
7,273282,279275,"c",
8,279276,280163,"a",
9,280164,285269,"r",
10,285270,292040,"l",
11,292041,293594,"r",
12,293595,294371,"l",
13,294372,298478,"r",
14,298479,300032,"l",
15,300033,300920,"r",
16,300921,301697,"l",
17,301698,302252,"a",
18,302253,305471,"r",
19,305472,307136,"l",
20,307137,309245,"c",
21,309246,309800,"l",
22,309801,310910,"r",
23,310911,312686,"l",
24,312687,315683,"r",
25,315684,322676,"l",
26,322677,323453,"r",
27,323454,323897,"l",
28,323898,324341,"r",
29,324342,324674,"l",
30,324675,325784,"r",
31,325785,329003,"l",
32,329004,330224,"r",
33,330225,330557,"l",
34,330558,332333,"r",
35,332334,332888,"l",
36,332889,335885,"r",
37,335886,336551,"l",
38,336552,336773,"r",
39,336774,336995,"l",
40,336996,337994,"a",
41,337995,348539,"c",
42,348540,349316,"l",
43,349317,349649,"r",
44,349650,356642,"l",
45,356643,357197,"r",
46,357198,361637,"l",
47,361638,362081,"a",
48,362082,364523,"l",
49,364524,367187,"r",
50,367188,368963,"l",
51,368964,369518,"a",
52,369519,371405,"l",
53,371406,372182,"a",
54,372183,374513,"r",
55,374514,374846,"l",
56,374847,380063,"a",
57,380064,380618,"c",
58,380619,381395,"l",
59,381396,382283,"r",
60,382284,382616,"l",
61,382617,383282,"r",
62,383283,385502,"c",
63,385503,386390,"l",
64,386391,386945,"c",
65,386946,387056,"r",
66,387057,387389,"a",
67,387390,392717,"l",
68,392718,393827,"r",
69,393828,396824,"l",
70,396825,397823,"r",
71,397824,400376,"l",
72,400377,400709,"c",
73,400710,402707,"l",
74,402708,403262,"r",
75,403263,403817,"l",
76,403818,405371,"r",
77,405372,405926,"l",
78,405927,408260,"r",
79,408261,0,"a",
