look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,251770,252653,"c",
1,252654,252993,"r",
2,252994,254999,"c",
3,255000,258875,"r",
4,258876,259181,"c",
5,259182,259487,"l",
6,259488,260439,"l",
7,260440,261051,"a",
8,261052,264723,"l",
9,264724,266083,"a",
10,266084,267001,"c",
11,267002,268259,"r",
12,268260,276351,"a",
13,276352,277269,"r",
14,277270,277303,"c",
15,277304,278901,"l",
16,278902,281179,"r",
17,281180,283253,"c",
18,283254,288387,"r",
19,288388,293521,"l",
20,293522,293895,"c",
21,293896,294643,"r",
22,294644,295799,"l",
23,295800,296241,"r",
24,296242,296853,"c",
25,296854,299165,"l",
26,299166,300627,"r",
27,300628,301715,"c",
28,301716,302871,"l",
29,302872,304163,"a",
30,304164,305523,"l",
31,305524,308005,"r",
32,308006,309433,"l",
33,309434,310045,"r",
34,310046,310589,"c",
35,310590,312799,"a",
36,312800,313649,"c",
37,313650,314431,"l",
38,314432,316233,"c",
39,316234,317457,"c",
40,317458,320517,"l",
41,320518,324121,"a",
42,324122,328303,"r",
43,328304,328711,"c",
44,328712,329663,"l",
45,329664,336191,"a",
46,336192,336803,"r",
47,336804,339217,"l",
48,339218,340271,"r",
49,340272,341699,"l",
50,341700,343399,"r",
51,343400,343807,"l",
52,343808,344351,"c",
53,344352,346391,"a",
54,346392,347887,"r",
55,347888,352137,"a",
56,352138,353599,"l",
57,353600,362779,"a",
58,362780,363357,"l",
59,363358,363561,"c",
60,363562,364445,"r",
61,364446,364751,"r",
62,364752,365975,"c",
63,365976,367913,"r",
64,367914,369069,"r",
65,369070,370803,"c",
66,370804,371313,"a",
67,371314,371780,"a",
68,371781,0,"",
