look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,262888,266185,"c",
1,266186,271455,"r",
2,271456,271625,"c",
3,271626,277133,"l",
4,277134,279241,"a",
5,279242,279921,"l",
6,279922,280669,"r",
7,280670,281859,"l",
8,281860,286517,"a",
9,286518,286891,"c",
10,286892,288013,"l",
11,288014,290699,"r",
12,290700,300763,"a",
13,300764,301205,"l",
14,301206,302395,"a",
15,302396,304673,"l",
16,304674,308719,"a",
17,308720,308991,"l",
18,308992,309773,"r",
19,309774,312255,"l",
20,312256,312459,"a",
21,312460,313751,"r",
22,313752,314227,"c",
23,314228,315791,"l",
24,315792,316233,"r",
25,316234,317865,"a",
26,317866,319327,"l",
27,319328,320551,"a",
28,320552,320993,"c",
29,320994,322965,"l",
30,322966,323237,"r",
31,323238,325005,"c",
32,325006,325481,"r",
33,325482,326467,"l",
34,326468,335273,"r",
35,335274,335681,"c",
36,335682,335919,"l",
37,335920,337075,"a",
38,337076,341257,"c",
39,341258,343501,"l",
40,343502,344589,"c",
41,344590,345405,"r",
42,345406,349893,"l",
43,349894,353395,"r",
44,353396,371993,"a",
45,371994,372503,"r",
46,372504,372775,"a",
47,372776,373659,"l",
48,373660,374883,"r",
49,374884,375529,"l",
50,375530,376923,"r",
51,376924,379371,"l",
52,379372,380051,"a",
53,380052,381411,"l",
54,381412,382737,"r",
55,382738,387361,"l",
56,387362,0,"r",
