look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,254298,259577,"c",
1,259578,261425,"r",
2,261426,268058,"l",
3,268059,269147,"r",
4,269148,270797,"l",
5,270798,271325,"r",
6,271326,271820,"l",
7,271821,272084,"r",
8,272085,273701,"l",
9,273702,274757,"r",
10,274758,275879,"l",
11,275880,277067,"r",
12,277068,278156,"l",
13,278157,278618,"r",
14,278619,279509,"l",
15,279510,279806,"r",
16,279807,281918,"l",
17,281919,282842,"a",
18,282843,284921,"c",
19,284922,287924,"l",
20,287958,291290,"c",
21,291291,294788,"r",
22,294789,297362,"l",
23,297363,298352,"r",
24,298353,298682,"l",
25,298683,300200,"r",
26,300201,300827,"c",
27,300828,302312,"l",
28,302313,302609,"r",
29,302610,304325,"l",
30,304326,305381,"r",
31,305382,305909,"l",
32,305910,308351,"r",
33,308352,309572,"l",
34,309573,311156,"r",
35,311157,312509,"l",
36,312510,313136,"a",
37,313137,314588,"c",
38,314589,315743,"a",
39,315744,319241,"c",
40,319242,320528,"l",
41,320529,321254,"a",
42,321255,323762,"l",
43,323763,324026,"r",
44,324027,324356,"l",
45,324357,328943,"r",
46,328944,329537,"a",
47,329538,330857,"r",
48,330858,331748,"l",
49,331749,332474,"r",
50,332475,333200,"l",
51,333201,333827,"r",
52,333828,334289,"l",
53,334290,335477,"a",
54,335478,336137,"r",
55,336138,336665,"l",
56,336666,337325,"r",
57,337326,337952,"l",
58,337953,341978,"r",
59,341979,342737,"l",
60,342738,345641,"r",
61,345642,347786,"c",
62,347787,351020,"r",
63,351021,351845,"l",
64,351846,352967,"a",
65,352968,353957,"l",
66,353958,354914,"a",
67,354915,358214,"l",
68,358215,358445,"c",
69,358446,358907,"r",
70,358908,359171,"c",
71,359172,359567,"r",
72,359568,359930,"l",
73,359931,360293,"r",
74,360294,361151,"l",
75,361152,361844,"r",
76,361845,362537,"l",
77,362538,364022,"r",
78,364023,364517,"l",
79,364518,365276,"r",
80,365277,366068,"l",
81,366069,366299,"a",
82,366300,368906,"l",
83,368907,369599,"r",
84,369600,370919,"l",
85,370920,371381,"r",
86,371382,372239,"l",
87,372240,372965,"r",
88,372966,373752,"l",
89,373753,0,"a",
