look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,256138,257050,"c",
1,257051,260121,"a",
2,260122,260536,"r",
3,260537,274148,"a",
4,274149,275061,"l",
5,275062,275642,"r",
6,275643,276804,"l",
7,276805,277634,"r",
8,277635,280788,"l",
9,280789,281286,"r",
10,281287,285353,"l",
11,285354,286681,"a",
12,286682,286764,"l",
13,286765,287677,"c",
14,287678,292906,"r",
15,292907,293321,"l",
16,293322,296641,"a",
17,296642,298716,"l",
18,298717,299048,"r",
19,299049,299380,"a",
20,299381,300791,"l",
21,300792,301787,"r",
22,301788,305854,"l",
23,305855,306684,"a",
24,306685,307265,"l",
25,307266,309008,"r",
26,309009,312494,"l",
27,312495,313241,"r",
28,313242,314403,"l",
29,314404,321043,"c",
30,321044,322371,"c",
31,322372,326770,"l",
32,326771,327600,"r",
33,327601,329177,"r",
34,329178,329509,"l",
35,329510,332912,"r",
36,332913,334489,"l",
37,334490,335236,"r",
38,335237,336066,"l",
39,336067,337062,"r",
40,337063,337892,"a",
41,337893,338307,"l",
42,338308,339801,"r",
43,339802,341710,"l",
44,341711,342042,"r",
45,342043,343121,"l",
46,343122,344947,"r",
47,344948,345113,"l",
48,345114,346026,"r",
49,346027,347603,"l",
50,347604,348599,"r",
51,348600,349014,"l",
52,349015,351006,"c",
53,351007,356318,"l",
54,356319,364037,"r",
55,364038,364452,"l",
56,364453,368768,"r",
57,368769,369598,"c",
58,369599,371009,"r",
59,371010,371673,"l",
60,371674,373250,"a",
61,373251,377462,"r",
62,377463,0,"a",
