look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257720,257787,"a",
1,257788,258093,"r",
2,258094,259147,"a",
3,259148,265743,"l",
4,265744,270843,"r",
5,270844,271387,"a",
6,271388,274005,"l",
7,274006,275161,"a",
8,275162,275603,"l",
9,275604,275739,"a",
10,275740,277473,"l",
11,277474,277813,"r",
12,277814,279479,"l",
13,279480,281383,"r",
14,281384,281621,"l",
15,281622,282777,"r",
16,282778,283423,"l",
17,283424,287163,"r",
18,287164,289373,"c",
19,289374,293657,"l",
20,293658,294643,"a",
21,294644,298621,"r",
22,298622,299029,"z",
23,299030,300457,"l",
24,300458,301001,"a",
25,301002,302735,"l",
26,302736,308141,"a",
27,308142,308447,"l",
28,308448,309501,"c",
29,309502,311847,"r",
30,311848,312425,"a",
31,312426,313105,"r",
32,313106,313989,"l",
33,313990,315961,"r",
34,315962,317763,"c",
35,317764,318341,"l",
36,318342,324325,"c",
37,324326,325685,"l",
38,325686,333573,"a",
39,333574,333743,"l",
40,333744,334253,"r",
41,334254,338299,"a",
42,338300,339761,"r",
43,339762,340373,"l",
44,340374,341869,"r",
45,341870,342549,"l",
46,342550,343025,"a",
47,343026,343501,"d",
48,343502,344283,"l",
49,344284,345303,"r",
50,345304,345711,"l",
51,345712,350947,"r",
52,350948,353769,"l",
53,353770,357679,"r",
54,357680,358325,"a",
55,358326,362609,"l",
56,362610,363833,"a",
57,363834,364955,"c",
58,364956,365193,"l",
59,365194,368219,"r",
60,368220,371313,"l",
61,371314,371925,"d",
62,371926,372809,"r",
63,372810,379524,"l",
64,379525,0,"a",
