look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,302736,303449,"r",
1,303450,306747,"c",
2,306748,307529,"r",
3,307530,309671,"l",
4,309672,310827,"r",
5,310828,0,"l",
6,315044,316267,"a",
7,316268,316709,"l",
8,316710,318409,"a",
9,318410,320279,"l",
10,320280,321503,"r",
11,321504,322047,"l",
12,322048,324461,"r",
13,324462,325447,"a",
14,325448,326705,"l",
15,326706,332349,"a",
16,332350,333947,"c",
17,333948,334321,"l",
18,334322,335273,"r",
19,335274,338843,"l",
20,338844,339319,"r",
21,339320,340713,"l",
22,340714,341223,"r",
23,341224,341699,"l",
24,341700,342719,"r",
25,342720,344215,"l",
26,344216,345439,"a",
27,345440,346221,"l",
28,346222,349451,"a",
29,349452,350879,"l",
30,350880,354925,"c",
31,354926,355537,"a",
32,355538,362575,"l",
33,362576,363187,"r",
34,363188,363493,"l",
35,363494,364445,"r",
36,364446,365363,"l",
37,365364,367505,"r",
38,367506,367879,"l",
39,367880,368865,"r",
40,368866,369885,"l",
41,369886,371143,"c",
42,371144,371653,"l",
43,371654,373353,"r",
44,373354,381139,"l",
45,381140,381615,"r",
46,381616,381989,"l",
47,381990,382533,"l",
48,382534,382907,"a",
49,382908,386001,"l",
50,386002,386205,"c",
51,386206,389265,"l",
52,389266,390285,"a",
53,390286,391645,"l",
54,391646,393107,"r",
55,393108,393413,"l",
56,393414,395011,"r",
57,395012,395623,"a",
58,395624,396813,"r",
59,396814,398309,"l",
60,398310,399295,"a",
61,399296,405211,"l",
62,405212,405721,"r",
63,405722,406503,"l",
64,406504,406979,"r",
65,406980,407727,"a",
66,407728,408645,"r",
67,408646,409053,"a",
68,409054,411263,"l",
69,411264,411875,"r",
70,411876,413269,"l",
71,413270,413541,"r",
72,413542,417043,"l",
73,417044,417315,"a",
74,417316,421021,"l",
75,421022,423299,"r",
76,423300,423741,"l",
77,423742,424931,"r",
78,424932,426087,"c",
79,426088,427481,"l",
80,427482,427855,"r",
81,427856,429079,"l",
82,429080,431187,"a",
83,431188,431697,"l",
84,431698,432445,"r",
85,432446,433091,"a",
86,433092,433499,"l",
87,433500,435097,"a",
88,435098,435573,"l",
89,435574,436151,"r",
90,436152,439177,"a",
91,439178,440401,"l",
92,440402,440639,"r",
93,440640,440945,"a",
94,440946,441455,"l",
95,441456,0,"a",
