look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,256381,256380,"c",
1,257020,258723,"a",
2,258724,267740,"a",
3,267741,268095,"l",
4,268096,269302,"a",
5,269303,269941,"l",
6,269942,275479,"a",
7,275480,275550,"l",
8,275551,276402,"r",
9,276403,277538,"c",
10,277539,283218,"a",
11,283219,283644,"r",
12,283645,283857,"l",
13,283858,285135,"a",
14,285136,290105,"a",
15,290106,290531,"r",
16,290532,291028,"l",
17,291029,303808,"a",
18,303809,303950,"r",
19,303951,305086,"a",
20,305087,305654,"l",
21,305655,307216,"r",
22,307217,310695,"l",
23,310696,311405,"r",
24,311406,312399,"a",
25,312400,313393,"l",
26,313394,316233,"a",
27,316234,317653,"r",
28,317654,318576,"l",
29,318577,320848,"r",
30,320849,322623,"a",
31,322624,324611,"r",
32,324612,328232,"a",
33,328233,328445,"l",
34,328446,341509,"a",
35,341510,342219,"l",
36,342220,342929,"a",
37,342930,344349,"r",
38,344350,344917,"l",
39,344918,345201,"r",
40,345202,365223,"a",
41,365224,366572,"c",
42,366573,367708,"r",
43,367709,372749,"a",
44,372750,373459,"r",
45,373460,374169,"a",
46,374170,375660,"l",
47,375661,376867,"r",
48,376868,377577,"l",
49,377578,378287,"a",
50,378288,379068,"l",
51,379069,380133,"r",
52,380134,381553,"a",
53,381554,383896,"l",
54,383897,384677,"r",
55,384678,387446,"a",
56,387447,388866,"r",
57,388867,389647,"a",
58,389648,390144,"r",
59,390145,390925,"a",
60,390926,391493,"r",
61,391494,394404,"l",
62,394405,395256,"a",
63,395257,396534,"l",
64,396535,399303,"a",
65,399304,399871,"r",
66,399872,400936,"a",
67,400937,401291,"l",
68,401292,402569,"r",
69,402570,403563,"l",
70,403564,406048,"a",
71,406049,406474,"r",
72,406475,0,"a",
