look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,254496,255485,"c",
1,255486,255617,"a",
2,255618,256871,"c",
3,256872,261887,"l",
4,261888,263207,"r",
5,263208,263339,"l",
6,263340,264758,"a",
7,264759,267101,"r",
8,267102,268355,"c",
9,268356,268850,"l",
10,268851,269378,"r",
11,269379,269840,"c",
12,269841,271688,"a",
13,271689,272348,"c",
14,272349,272513,"l",
15,272514,275186,"a",
16,275187,277034,"l",
17,277035,277793,"l",
18,277794,279509,"r",
19,279510,279971,"l",
20,279972,281423,"r",
21,281424,282083,"l",
22,282084,282842,"a",
23,282843,287825,"r",
24,287826,290465,"a",
25,290466,290828,"r",
26,290829,292742,"c",
27,292743,295217,"l",
28,295218,307328,"a",
29,307329,308945,"c",
30,308946,310034,"r",
31,310035,310133,"l",
32,310134,310463,"a",
33,310464,311651,"l",
34,311652,312113,"c",
35,312114,312707,"r",
36,312708,313664,"a",
37,313665,314093,"l",
38,314094,315611,"a",
39,315612,316931,"r",
40,316932,317624,"a",
41,317625,318185,"r",
42,318186,321089,"r",
43,321090,324389,"a",
44,324390,325280,"r",
45,325281,326105,"l",
46,326106,331715,"a",
47,331716,332210,"r",
48,332211,332969,"c",
49,332970,334025,"l",
50,334026,334388,"r",
51,334389,334619,"c",
52,334620,336500,"l",
53,336501,337886,"c",
54,337887,338645,"l",
55,338646,339239,"c",
56,339240,339338,"l",
57,339339,339569,"a",
58,339570,339866,"r",
59,339867,341846,"a",
60,341847,342440,"r",
61,342441,342605,"c",
62,342606,343298,"l",
63,343299,349040,"a",
64,349041,350228,"r",
65,350229,351449,"l",
66,351450,352010,"a",
67,352011,353396,"r",
68,353397,354287,"a",
69,354288,0,"r",
70,354288,354650,"",
71,354651,355112,"l",
72,355113,356861,"a",
73,356862,357026,"r",
74,357027,357521,"l",
75,357522,359171,"a",
76,359172,359732,"l",
77,359733,360392,"c",
78,360393,360854,"r",
79,360855,361217,"l",
80,361218,362471,"a",
81,362472,363890,"r",
82,363891,365342,"l",
83,365343,366167,"a",
84,366168,367190,"c",
85,367191,367949,"r",
86,367950,369170,"l",
87,369171,369698,"r",
88,369699,370127,"a",
89,370128,372173,"r",
90,372174,374719,"a",
91,374720,0,"",
