look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,263000,263759,"a",
1,263760,267079,"c",
2,267080,269319,"r",
3,269320,270599,"a",
4,270600,271439,"c",
5,271440,271959,"a",
6,271960,272439,"r",
7,272440,279079,"l",
8,279080,279239,"a",
9,279240,280719,"r",
10,280720,282639,"l",
11,282640,283559,"r",
12,283560,284359,"l",
13,284360,285079,"a",
14,285080,286119,"c",
15,286120,286959,"r",
16,286960,287479,"c",
17,287480,288639,"a",
18,288640,289399,"l",
19,289400,289959,"r",
20,289960,292239,"l",
21,292240,292799,"r",
22,292800,294399,"a",
23,294400,296079,"c",
24,296080,296799,"a",
25,296800,296999,"c",
26,297000,302119,"l",
27,302120,306519,"r",
28,306520,307639,"a",
29,307640,307919,"r",
30,307920,308479,"c",
31,308480,309079,"a",
32,309080,309839,"r",
33,309840,310479,"l",
34,310480,312319,"r",
35,312320,315199,"a",
36,315200,315999,"c",
37,316000,316599,"r",
38,316600,317359,"l",
39,317360,319559,"r",
40,319560,320199,"l",
41,320200,324159,"r",
42,324160,331199,"c",
43,331200,333079,"a",
44,333080,337039,"l",
45,337040,338319,"a",
46,338320,343879,"r",
47,343880,344719,"l",
48,344720,345119,"r",
49,345120,347039,"l",
50,347040,349559,"r",
51,349560,351039,"l",
52,351040,351879,"l",
53,351880,352199,"c",
54,352200,354559,"r",
55,354560,355119,"l",
56,355120,356119,"r",
57,356120,356559,"l",
58,356560,358359,"r",
59,358360,359639,"l",
60,359640,359999,"r",
61,360000,362719,"c",
62,362720,364959,"l",
63,364960,366959,"a",
64,366960,368079,"l",
65,368080,370759,"r",
66,370760,371159,"a",
67,371160,373479,"r",
68,373480,374639,"l",
69,374640,374959,"r",
70,374960,376479,"c",
71,376480,376879,"r",
72,376880,378159,"c",
73,378160,379239,"r",
74,379240,379719,"a",
75,379720,381279,"l",
76,381280,381719,"a",
77,381720,382839,"l",
78,382840,383559,"r",
79,383560,383919,"l",
80,383920,384919,"a",
81,384920,385759,"r",
82,385760,386999,"l",
83,387000,388359,"r",
84,388360,0,"a",
