look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,260882,264315,"c",
1,264316,268939,"l",
2,268940,269891,"a",
3,269892,272441,"r",
4,272442,274821,"r",
5,274822,276011,"l",
6,276012,276759,"r",
7,276760,278425,"l",
8,278426,280329,"r",
9,280330,280907,"c",
10,280908,281961,"l",
11,281962,282131,"r",
12,282132,282743,"l",
13,282744,283083,"c",
14,283084,284307,"r",
15,284308,286007,"l",
16,286008,286857,"r",
17,286858,291379,"l",
18,291380,292127,"r",
19,292128,293725,"c",
20,293726,295935,"r",
21,295936,296241,"l",
22,296242,298689,"r",
23,298690,301885,"l",
24,301886,302633,"a",
25,302634,304095,"l",
26,304096,304333,"a",
27,304334,305013,"c",
28,305014,305965,"a",
29,305966,307121,"l",
30,307122,309399,"l",
31,309400,311235,"a",
32,311236,311371,"c",
33,311372,312969,"l",
34,312970,313649,"r",
35,313650,315145,"l",
36,315146,315825,"r",
37,315826,317729,"l",
38,317730,319157,"r",
39,319158,319939,"c",
40,319940,320925,"l",
41,320926,321571,"c",
42,321572,322013,"l",
43,322014,326535,"c",
44,326536,327215,"l",
45,327216,329663,"c",
46,329664,334865,"l",
47,334866,339081,"r",
48,339082,339421,"l",
49,339422,340305,"r",
50,340306,341223,"c",
51,341224,341495,"r",
52,341496,342617,"l",
53,342618,342923,"r",
54,342924,343603,"l",
55,343604,344691,"r",
56,344692,346289,"l",
57,346290,347513,"r",
58,347514,347751,"c",
59,347752,348465,"l",
60,348466,348703,"c",
61,348704,349043,"r",
62,349044,349927,"l",
63,349928,350165,"c",
64,350166,350845,"r",
65,350846,351321,"l",
66,351322,354143,"r",
67,354144,355129,"l",
68,355130,356625,"r",
69,356626,358903,"c",
70,358904,362677,"r",
71,362678,363051,"c",
72,363052,363459,"l",
73,363460,364343,"c",
74,364344,369511,"l",
75,369512,370055,"c",
76,370056,371109,"r",
77,371110,374067,"l",
78,374068,375223,"r",
79,375224,375665,"l",
80,375666,376855,"r",
81,376856,377841,"l",
82,377842,378419,"r",
83,378420,379575,"l",
84,379576,380663,"r",
85,380664,382635,"l",
86,382636,384539,"r",
87,384540,385816,"a",
88,385817,0,"a",
