look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255981,256244,"l",
1,256245,257168,"c",
2,257169,257795,"a",
3,257796,258191,"r",
4,258192,260600,"l",
5,260601,261458,"a",
6,261459,263702,"l",
7,263703,269180,"r",
8,269181,270170,"r",
9,270171,271490,"l",
10,271491,274064,"r",
11,274065,275219,"l",
12,275220,276044,"r",
13,276045,277001,"l",
14,277002,277397,"r",
15,277398,277925,"l",
16,277926,278783,"r",
17,278784,279179,"l",
18,279180,280103,"r",
19,280104,280598,"l",
20,280599,281819,"r",
21,281820,283931,"l",
22,283932,285152,"r",
23,285153,287429,"c",
24,287430,292049,"l",
25,292050,292247,"r",
26,292248,292643,"l",
27,292644,298352,"r",
28,298353,298814,"c",
29,298815,299738,"l",
30,299739,300761,"r",
31,300762,301520,"l",
32,301521,302213,"r",
33,302214,303269,"a",
34,303270,306437,"l",
35,306438,308351,"r",
36,308352,308714,"l",
37,308715,309407,"r",
38,309408,312212,"l",
39,312213,313004,"r",
40,313005,313565,"l",
41,313566,313862,"r",
42,313863,315017,"l",
43,315018,316733,"a",
44,316734,317393,"l",
45,317394,319835,"a",
46,319836,323069,"l",
47,323070,328217,"r",
48,328218,333959,"l",
49,333960,334586,"c",
50,334587,335411,"r",
51,335412,336962,"l",
52,336963,338216,"r",
53,338217,342407,"l",
54,342408,342869,"r",
55,342870,345146,"l",
56,345147,346697,"r",
57,346698,347555,"a",
58,347556,348446,"r",
59,348447,349535,"a",
60,349536,350162,"l",
61,350163,351119,"r",
62,351120,352010,"a",
63,352011,353891,"r",
64,353892,354914,"a",
65,354915,356993,"r",
66,356994,363494,"l",
67,363495,365606,"r",
68,365607,368477,"l",
69,368478,369269,"r",
70,369270,370556,"l",
71,370557,371051,"r",
72,371052,371876,"l",
73,371877,372503,"r",
74,372504,373823,"l",
75,373824,374846,"r",
76,374847,377773,"l",
77,377774,0,"a",
