look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,255306,258705,"c",
1,258706,259555,"r",
2,259556,263975,"r",
3,263976,269619,"l",
4,269620,270163,"c",
5,270164,271795,"r",
6,271796,272985,"l",
7,272986,273665,"r",
8,273666,274277,"l",
9,274278,275127,"r",
10,275128,277099,"l",
11,277100,277507,"c",
12,277508,278017,"r",
13,278018,278663,"l",
14,278664,279479,"r",
15,279480,281145,"l",
16,281146,282743,"r",
17,282744,285565,"l",
18,285566,287775,"c",
19,287776,289781,"r",
20,289782,290291,"a",
21,290292,290461,"r",
22,290462,293181,"a",
23,293182,299471,"l",
24,299472,301035,"r",
25,301036,301613,"l",
26,301614,301987,"r",
27,301988,304027,"a",
28,304028,305421,"l",
29,305422,305693,"c",
30,305694,306781,"l",
31,306782,309501,"r",
32,309502,310895,"l",
33,310896,314363,"r",
34,314364,320109,"c",
35,320110,320449,"l",
36,320450,322625,"c",
37,322626,326501,"l",
38,326502,327793,"c",
39,327794,335341,"r",
40,335342,335919,"l",
41,335920,337381,"r",
42,337382,339217,"c",
43,339218,339625,"r",
44,339626,341291,"l",
45,341292,344487,"r",
46,344488,346119,"l",
47,346120,347513,"r",
48,347514,348091,"a",
49,348092,349383,"c",
50,349384,354925,"l",
51,354926,354959,"a",
52,354960,356795,"l",
53,356796,360603,"r",
54,360604,361317,"c",
55,361318,361997,"a",
56,361998,363731,"r",
57,363732,366859,"l",
58,366860,367301,"r",
59,367302,368967,"l",
60,368968,370259,"r",
61,370260,371347,"l",
62,371348,373149,"r",
63,373150,374441,"l",
64,374442,375189,"r",
65,375190,0,"a",
