look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,253674,253843,"c",
1,253844,257549,"c",
2,257550,262751,"l",
3,262752,268089,"r",
4,268090,268871,"l",
5,268872,270469,"r",
6,270470,272101,"a",
7,272102,0,"l",
8,272476,274957,"r",
9,274958,275671,"l",
10,275672,276079,"l",
11,276080,279173,"a",
12,279174,280261,"l",
13,280262,280771,"r",
14,280772,283933,"l",
15,283934,285259,"r",
16,285260,294643,"a",
17,294644,296819,"r",
18,296820,298111,"l",
19,298112,300899,"r",
20,300900,301205,"a",
21,301206,301647,"l",
22,301648,305319,"a",
23,305320,305625,"l",
24,305626,306747,"r",
25,306748,310793,"a",
26,310794,311099,"l",
27,311100,311643,"a",
28,311644,312323,"l",
29,312324,312629,"a",
30,312630,312799,"l",
31,312800,313105,"r",
32,313106,313853,"a",
33,313854,314941,"c",
34,314942,317899,"r",
35,317900,0,"c",
36,320824,322183,"r",
37,322184,322931,"a",
38,322932,325141,"r",
39,325142,325413,"l",
40,325414,326025,"r",
41,326026,329459,"l",
42,329460,330071,"a",
43,330072,331839,"l",
44,331840,332281,"r",
45,332282,332825,"l",
46,332826,333369,"r",
47,333370,336021,"l",
48,336022,338163,"r",
49,338164,343025,"l",
50,343026,346085,"r",
51,346086,347343,"l",
52,347344,347513,"r",
53,347514,349587,"c",
54,349588,350845,"l",
55,350846,350845,"a",
56,350846,350845,"a",
57,350846,350845,"a",
58,350846,353803,"l",
59,353804,356863,"r",
60,356864,357271,"l",
61,357272,359107,"a",
62,359108,361181,"r",
63,361182,362201,"l",
64,362202,364343,"r",
65,364344,367097,"l",
66,367098,367845,"r",
67,367846,369545,"l",
68,369546,371687,"r",
69,371688,373761,"l",
70,373762,375680,"r",
71,375681,0,"a",
