look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,256872,259907,"c",
1,259908,265187,"l",
2,265188,268454,"r",
3,268455,269543,"l",
4,269544,271556,"r",
5,271557,274130,"l",
6,274131,275450,"r",
7,275451,277496,"l",
8,277497,277859,"r",
9,277860,278750,"l",
10,278751,279047,"r",
11,279048,280829,"a",
12,280830,281390,"c",
13,281391,282050,"r",
14,282051,283205,"a",
15,283206,283634,"r",
16,283635,283931,"l",
17,283932,286010,"r",
18,286011,286538,"l",
19,286539,288947,"r",
20,288948,294161,"l",
21,294162,300002,"r",
22,300003,300431,"l",
23,300432,300761,"r",
24,300762,301553,"l",
25,301554,302015,"r",
26,302016,302675,"l",
27,302676,306239,"r",
28,306240,307163,"c",
29,307164,307592,"r",
30,307593,308153,"l",
31,308154,309968,"r",
32,309969,310166,"l",
33,310167,315380,"r",
34,315381,315611,"l",
35,315612,0,"r",
36,315876,317195,"c",
37,317196,323762,"c",
38,323763,329207,"r",
39,329208,336269,"l",
40,336270,338348,"r",
41,338349,341351,"l",
42,341352,341813,"r",
43,341814,342077,"c",
44,342078,349799,"l",
45,349800,350327,"r",
46,350328,350624,"l",
47,350625,352901,"c",
48,352902,358016,"r",
49,358017,363824,"l",
50,363825,364517,"l",
51,364518,366299,"r",
52,366300,371678,"l",
53,371679,372965,"r",
54,372966,379040,"l",
55,379041,0,"a",
