look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,260780,264145,"c",
1,264146,266797,"r",
2,266798,267511,"l",
3,267512,269313,"r",
4,269314,276113,"l",
5,276114,277541,"r",
6,277542,278391,"l",
7,278392,278731,"r",
8,278732,281349,"l",
9,281350,281893,"r",
10,281894,283593,"l",
11,283594,285633,"r",
12,285634,286755,"l",
13,286756,287809,"r",
14,287810,289747,"l",
15,289748,290937,"r",
16,290938,293317,"c",
17,293318,297057,"l",
18,297058,297567,"c",
19,297568,298145,"r",
20,298146,298893,"l",
21,298894,302837,"r",
22,302838,304979,"c",
23,305048,305591,"l",
24,305592,306577,"r",
25,306578,310453,"l",
26,310454,310793,"a",
27,310794,312153,"c",
28,312154,312901,"l",
29,312902,314091,"r",
30,314092,314465,"l",
31,314466,315111,"r",
32,315112,316811,"l",
33,316812,317355,"r",
34,317356,317559,"l",
35,317560,319021,"r",
36,319022,319361,"c",
37,319362,321775,"r",
38,321776,322217,"l",
39,322218,322965,"l",
40,322966,324291,"r",
41,324292,325175,"l",
42,325176,325855,"a",
43,325856,332281,"l",
44,332282,332485,"l",
45,332486,333029,"a",
46,333030,334151,"l",
47,334152,338265,"r",
48,338266,339285,"l",
49,339286,340985,"r",
50,340986,341529,"l",
51,341530,342787,"a",
52,342788,343229,"l",
53,343230,344419,"r",
54,344420,344759,"c",
55,344760,345643,"r",
56,345644,345881,"a",
57,345882,346901,"r",
58,346902,347989,"l",
59,347990,348397,"r",
60,348398,349111,"l",
61,349112,351049,"r",
62,351050,351967,"l",
63,351968,352069,"r",
64,352070,352817,"l",
65,352818,353701,"r",
66,353702,354653,"l",
67,354654,355911,"r",
68,355912,358155,"c",
69,358156,362949,"l",
70,362950,364207,"c",
71,364208,369103,"r",
72,369104,369851,"a",
73,369852,373931,"l",
74,373932,378011,"l",
75,378012,378487,"r",
76,378488,378827,"c",
77,378828,380017,"r",
78,380018,381207,"l",
79,381208,381479,"r",
80,381480,382125,"l",
81,382126,383485,"r",
82,383486,383961,"l",
83,383962,384199,"r",
84,384200,384607,"l",
85,384608,384740,"r",
86,384741,0,"a",
