look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257822,257821,"c",
1,258434,260303,"l",
2,260304,261595,"a",
3,261596,263261,"l",
4,263262,268225,"a",
5,268226,271489,"r",
6,271490,275161,"a",
7,275162,276555,"r",
8,276556,278459,"l",
9,278460,280737,"a",
10,280738,281009,"l",
11,281010,281961,"a",
12,281962,282097,"r",
13,282098,282607,"a",
14,282608,285259,"r",
15,285260,287469,"l",
16,287470,288013,"r",
17,288014,288625,"a",
18,288626,289373,"l",
19,289374,290665,"l",
20,290666,292501,"a",
21,292502,292535,"r",
22,292536,293011,"a",
23,293012,295833,"a",
24,295834,296105,"r",
25,296106,296445,"a",
26,296446,297125,"l",
27,297126,298621,"a",
28,298622,298893,"r",
29,298894,303279,"a",
30,303280,304809,"r",
31,304810,306305,"c",
32,306306,308481,"r",
33,308482,309025,"l",
34,309026,309229,"a",
35,309230,309467,"a",
36,309468,310317,"r",
37,310318,310827,"l",
38,310828,311133,"r",
39,311134,311813,"a",
40,311814,312085,"l",
41,312086,312595,"a",
42,312596,312697,"l",
43,312698,313173,"a",
44,313174,313887,"l",
45,313888,314363,"r",
46,314364,315791,"l",
47,315792,317117,"r",
48,317118,320415,"a",
49,320416,321095,"l",
50,321096,321741,"a",
51,321742,322693,"r",
52,322694,323917,"a",
53,323918,324461,"r",
54,324462,325311,"a",
55,325312,325787,"r",
56,325788,327589,"l",
57,327590,328371,"a",
58,328372,328983,"l",
59,329018,329629,"a",
60,329630,330003,"r",
61,330004,331193,"a",
62,331194,0,"r",
63,337824,338503,"a",
64,338504,339523,"r",
65,339524,341223,"r",
66,341224,342549,"l",
67,342550,343773,"r",
68,343774,344963,"c",
69,344964,346595,"a",
70,346596,347241,"d",
71,347242,347887,"r",
72,347888,349587,"a",
73,349588,350267,"r",
74,350268,351015,"l",
75,351016,353123,"a",
76,353124,353497,"r",
77,353498,355163,"a",
78,355164,356149,"r",
79,356150,358325,"a",
80,358326,358767,"l",
81,358768,360569,"a",
82,360570,362915,"r",
83,362916,363391,"a",
84,363392,365533,"r",
85,365534,366519,"a",
86,366520,366757,"l",
87,366758,368491,"r",
88,368492,369681,"l",
89,369682,371925,"r",
90,371926,372095,"a",
91,372096,372537,"a",
92,372538,375971,"r",
93,375972,376821,"l",
94,376822,378725,"a",
95,378726,380731,"l",
96,380732,0,"a",
