look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,261222,262615,"c",
1,262616,0,"r",
2,264690,267205,"l",
3,267206,268565,"r",
4,268566,269007,"l",
5,269008,270673,"r",
6,270674,270877,"a",
7,270878,0,"r",
8,272442,272543,"a",
9,272544,274413,"r",
10,274414,275467,"a",
11,275468,275977,"r",
12,275978,276861,"l",
13,276862,0,"r",
14,277304,282845,"a",
15,282846,283185,"l",
16,283186,285837,"a",
17,285838,287469,"r",
18,287470,288829,"l",
19,288830,289985,"c",
20,289986,290393,"l",
21,290394,294031,"a",
22,294032,296785,"r",
23,296786,298213,"l",
24,298214,301069,"a",
25,301070,303755,"a",
26,303756,304809,"l",
27,304810,305149,"a",
28,305150,305523,"r",
29,305524,305693,"a",
30,305694,306849,"r",
31,307020,323067,"a",
32,323068,324053,"l",
33,324054,344657,"a",
34,344658,344861,"r",
35,344862,347105,"l",
36,347106,347717,"r",
37,347718,348737,"l",
38,348738,349519,"r",
39,349520,349859,"l",
40,349860,350811,"r",
41,350812,351525,"l",
42,351526,352783,"a",
43,352784,353803,"l",
44,353804,354381,"r",
45,354382,355401,"l",
46,355402,356115,"r",
47,356116,357645,"l",
48,357646,362745,"a",
49,362746,384926,"a",
50,384927,0,"a",
