look_type.ordinal,look_type.onset,look_type.offset,look_type.code01,
0,257982,259643,"c",
1,259644,260039,"r",
2,260040,261095,"c",
3,261096,261953,"r",
4,261954,264989,"c",
5,264990,268487,"r",
6,268488,269378,"a",
7,269379,269576,"r",
8,269577,273437,"l",
9,273438,275021,"a",
10,275022,275120,"c",
11,275121,275516,"l",
12,275517,275780,"c",
13,275781,276077,"l",
14,276078,277661,"r",
15,277662,282875,"l",
16,282876,283172,"c",
17,283173,283568,"r",
18,283569,286175,"l",
19,286176,287825,"r",
20,287826,291191,"l",
21,291192,291752,"c",
22,291753,293435,"c",
23,293436,298550,"r",
24,298551,300200,"l",
25,300201,302147,"l",
26,302148,303533,"a",
27,303534,303863,"r",
28,303864,304358,"a",
29,304359,305051,"l",
30,305052,305216,"r",
31,305217,305777,"a",
32,305778,306140,"r",
33,306141,306932,"l",
34,306933,312179,"r",
35,312213,313433,"l",
36,313434,314555,"a",
37,314556,314720,"c",
38,314721,315578,"r",
39,315579,316469,"a",
40,316470,317888,"l",
41,317889,319505,"r",
42,319506,320363,"a",
43,320364,320792,"l",
44,320793,325082,"c",
45,325083,325874,"l",
46,325875,328283,"c",
47,328284,333431,"l",
48,333432,339470,"r",
49,339471,340361,"l",
50,340362,342440,"r",
51,342441,344750,"l",
52,344751,346169,"r",
53,346170,346994,"c",
54,346995,348611,"l",
55,348612,350558,"r",
56,350559,352010,"l",
57,352011,354056,"r",
58,354057,355772,"a",
59,355773,357455,"c",
60,357456,362636,"l",
61,362637,367223,"r",
62,367224,368972,"c",
63,368973,369830,"l",
64,369831,371249,"r",
65,371250,371876,"l",
66,371877,372833,"a",
67,372834,374054,"l",
68,374055,374549,"r",
69,374550,376595,"a",
70,376596,377090,"r",
71,377091,378377,"l",
72,378378,379631,"r",
73,379632,381017,"l",
74,381018,381611,"a",
75,381612,381776,"l",
76,381777,383723,"r",
